926237483246878720 2017-11-02 19:59:59 -0400 <PatchesandBo> @Roger89878012 @Basterds_Fight @realDonaldTrump 'roger' is a bot. Block it
926237482189930496 2017-11-02 19:59:59 -0400 <Steviejo02> @realDonaldTrump And the white dude who killed 51 in LV? What would you want for him? How about the white dude in Colo?
926237481124626432 2017-11-02 19:59:58 -0400 <starwind111> @SenWarren @realDonaldTrump Thank you Sen. Warren for reminding people what a real Democrat looks like, you're certainly not a Goldwater Republican like HRC.
926237477177663488 2017-11-02 19:59:57 -0400 <jmy999ster> @LGForbes @realDonaldTrump   https://t.co/Wx3fpMdL0i
926237475479179264 2017-11-02 19:59:57 -0400 <nazayna55> @realDonaldTrump @federalreserve You act like this is an accomplishment.  #PatheticFakePresident
926237475139289088 2017-11-02 19:59:57 -0400 <4thgenWA> @joncoopertweets @IvankaTrump @jaredkushner @FLOTUS @realDonaldTrump Who fucking cares? They’ve already spawned. The damage is done. #trumprussia #ImpeachTrumpNow #itsmuellertime
926237474929524736 2017-11-02 19:59:57 -0400 <manoaislander> @LouDobbs @SebGorka @realDonaldTrump   https://t.co/QYMKSc1nQ7
926237474401193984 2017-11-02 19:59:57 -0400 <PhilBro58244504> @realDonaldTrump The immediate focus should be on you Don the Con!! Need to save the country first and the world before we can get to other business.
926237473394581506 2017-11-02 19:59:56 -0400 <Politics442> #TrumpRussia is real @realDonaldTrump drip....drip....drip  https://t.co/4tjnih1gEu
926237470567686145 2017-11-02 19:59:56 -0400 <SteinbrinkEvan> 😂😂 You be little our justice system while you’re facing the on-going investigation &amp; probe, plus facing lawsuits. @realDonaldTrump 😂😂
926237470433329152 2017-11-02 19:59:56 -0400 <World_ly> These tax cuts go to a very small group of companies and people. Not real reform. @realDonaldTrump #taxplan is a whimper #Fail
926237470320218112 2017-11-02 19:59:56 -0400 <ABrighton2017> Wann hat @realDonaldTrump eigentlich die Todesstrafe für Stephen Paddock gefordert?
926237468525039618 2017-11-02 19:59:55 -0400 <Carriecath> We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer’s petition demanding Congress impeach Trump.  https://t.co/6CKeCbYunR
926237468441051137 2017-11-02 19:59:55 -0400 <japalian7> Conflicts of interest?Emoluments clause?Ethics violations?Scummy,stinking,dirty-dealing nefarious behavior by @realDonaldTrump, @waltshaub?  https://t.co/jXYleyLZxV
926237466717278208 2017-11-02 19:59:55 -0400 <apdonaldson> @realDonaldTrump wants "merit-based" immigration, I'm assuming all this means is only 9's and up are allowed.
926237457900740608 2017-11-02 19:59:53 -0400 <petermpiazza> @realDonaldTrump   Dear Mr. President,  My wife Kathy &amp; I pray you have a safe , fruitful &amp; blessed trip.  We support you 100%
926237456839708672 2017-11-02 19:59:53 -0400 <Depthwalker> @realDonaldTrump Resign
926237453693997056 2017-11-02 19:59:52 -0400 <DD93778941> @Grannygiggles2 @GOP @realDonaldTrump Bernie would’ve been worse than Hillary as President
926237452766810113 2017-11-02 19:59:52 -0400 <isaactchavez76> @browns2211 @FoxNews @kayleighmcenany @POTUS @realDonaldTrump Everyone is talking about it.
926237450040623111 2017-11-02 19:59:51 -0400 <DoctorSekzi> @Cernovich @realDonaldTrump @LeviSmithUSA of /pol/ is gone.
926237448421691394 2017-11-02 19:59:51 -0400 <chevy555657> @LouDobbs @realDonaldTrump Donna is Crooked, Hillary Is Crooked, every where ya Look, the Whole Democrat Party is Crooked.
926237445007355904 2017-11-02 19:59:50 -0400 <sin1192777> @realDonaldTrump   IfNorthKorea's nucleartest happenagain,theradiation will be scattered. Depending on thewind direction it willlflytoChina.
926237444206407680 2017-11-02 19:59:50 -0400 <joemama1321> Still waiting to see you come through on just ONE of your campaign promises @POTUS @realDonaldTrump  #trumpwatch @MSNBC @CNN
