956315674644656129 2018-01-24 18:59:58 -0400 <AudreyK27> @funder @realDonaldTrump I think you can pretty much count on it. 😊
956315674116349953 2018-01-24 18:59:58 -0400 <KristinaJulia2> @realDonaldTrump , @theresa_may - Are you going to let him possibly die, WTF?  https://t.co/C38XyWjA28
956315669817102336 2018-01-24 18:59:57 -0400 <Haffacent> @johnpavlovitz @GOP @realDonaldTrump @BarackObama Or Hillary's emails
956315669594853377 2018-01-24 18:59:57 -0400 <Kit_Cosper> @MittRomney Hey, @realDonaldTrump - in case you were wondering, this is what a real #Republican looks like.  #329lbs #GirtherGate #286Days
956315668902825984 2018-01-24 18:59:57 -0400 <Tonitiget> @realDonaldTrump You really should have someone review your texts.  Mayors, not mayor’s. Jackass! What schools did you attend anyway?
956315668671967233 2018-01-24 18:59:57 -0400 <JackySinAZ> @NYCMayor @realDonaldTrump if they are all legal..thats great..its the illegals that is the problem idiot!!!
956315667602567173 2018-01-24 18:59:57 -0400 <GarthEvan> @realDonaldTrump   https://t.co/ckvTQ54h21
956315663923953664 2018-01-24 18:59:56 -0400 <DubDabz> @DonnaWR8 @realDonaldTrump #ReleaseThePeepeeTape  https://t.co/rmy1KQP7OT
956315663806627840 2018-01-24 18:59:56 -0400 <SoldierofResist> @realDonaldTrump What happened your promise that Mexico is going to pay for this wall?
956315661554372610 2018-01-24 18:59:55 -0400 <JackARoe12> @ericbolling @realDonaldTrump   https://t.co/qVS9AcCUU2
956315660967120897 2018-01-24 18:59:55 -0400 <MusingCat2014> @billraydrums @Katamazebllz @1mamanbear @jjaparo @lauraevf1968 @DutchRosco @Steinbeckfan1 @MichaelSkolnik @billyeichner @realDonaldTrump Did George Soros pay him, too? My parents are convinced he pays all the Protesters. He must be really really rich like Donald
956315660040265728 2018-01-24 18:59:55 -0400 <BAPolitix> @realDonaldTrump @GovMattBevin All due respect, Sir. Fuck your thoughts and prayers. How about you take some meaningful action, close some loopholes and enact common sense laws on a federal level.
956315659146878977 2018-01-24 18:59:55 -0400 <lulinspector> @IncognitoKarma @suecaro @deborahtott @JeffersonArty @dankennik @nocopoutuk @MSANNCOOPER @SilverGirl500 @RednorthUK @MindedMusically @richdodkin @Stevethsoundman @robintudge @julia_jesson @chatteris18 @Susan_admin @SkyNews @thefabians @realDonaldTrump @SadiqKhan @debbiesturgis1 @BluehandArea Wake up they are protected.  The man found guilty of a £750k fraud against LUL did not spend one day in prison.  Fined £10k barred from being a company director for 2 years &amp; now has a company subbing to National Rail with Sir Peter Hendy as boss - he was boss at LUL.  #Workitout
956315656189763584 2018-01-24 18:59:54 -0400 <reginoarias1> @realDonaldTrump @GovMattBevin You don't even go to church unless you're getting married. Are you going to kneel and pray to your little burning cross in your single bedroom?  This was an attack by a U.S. Citizen. How much more blood do u need on your hands? #GunControlNow
956315656110055426 2018-01-24 18:59:54 -0400 <BadEugoogolizer> @dayanarod5 @weplumbez @FoxNews @realDonaldTrump And he liked his own post because no one else will. LOL
956315654109519872 2018-01-24 18:59:54 -0400 <jonnaclermont> @Jaymino13 @judy227 @thunder13617 @FoxNews @realDonaldTrump Where is the collusion. That was why the investigation started
956315652821790726 2018-01-24 18:59:53 -0400 <mitzidee2> @RealWayneS @SenDuckworth @realDonaldTrump You know she lost both legs in combat... right?
956315652087779328 2018-01-24 18:59:53 -0400 <TmanOpRdBkr> @mrsmaisy @Starrs_Missed @SophiaHelwani @realDonaldTrump 😂😂😂 More conservative 'news' Lord. This is great!
956315650380746753 2018-01-24 18:59:53 -0400 <Politidope> If @realDonaldTrump didn't need Russian help to win the electoral college (not the most votes), why did he have campaign aides sneaking around the world offering them sanctions relief in exchange for dirt on Hillary?
