998352670514733057 2018-05-20 19:59:59 -0400 <SteveOw48518235> @realDonaldTrump Well in that case, how bout we start  With YOU! Liar in chief!
998352667138281473 2018-05-20 19:59:58 -0400 <VictoriaH1962> @TnTwhostaller @The_Trump_Train @realDonaldTrump 😂😂😂😂😂😂😂
998352666718801920 2018-05-20 19:59:58 -0400 <BTxblubelle> @realDonaldTrump Dude - you STILL got a hard on for Obama?
998352663627554816 2018-05-20 19:59:58 -0400 <jayfrancheyes> @FoxNews @realDonaldTrump You hear that because you’re an idiot.
998352663573131264 2018-05-20 19:59:58 -0400 <gwenorel1> @RepMarkMeadows @realDonaldTrump That’s insane, Mark Meadows. There is absolutely no reason to slur at the DOJ this way. How do you sleep at night
998352661274603520 2018-05-20 19:59:57 -0400 <Thegunslnger> @realDonaldTrump Um.. You demand?? On Twitter?  The obviousness in which you whip up your MAGAt base to use as a sheild gets more pathetic every day.  Today is a perfect example.  Spreading lies about the conclusion of the Russia investigation and now this? Lap it up brain dead MAGAts.
998352661228474368 2018-05-20 19:59:57 -0400 <sarah_kingman> @krisisme1010 @realDonaldTrump In the name of all that is holy (just a saying), WHERE did I say anything about “taking away people’s right to have a gun? #ReadingIsFundamental Regulation/Reform does NOT equal “take away.” Why is it so many jump right to “they want to take away my guns”? BTW, I own a gun.
998352658887999488 2018-05-20 19:59:57 -0400 <Joe4more> @TheMemeWarrior @inafob @AlphaCoreRelay @DandHRoss @JTMYVA @realDonaldTrump Manafort?
998352655477977088 2018-05-20 19:59:56 -0400 <kinky_oskar> @JesseJackmanXXX @realDonaldTrump Looks like he's getting scared... For some reason
998352654899261441 2018-05-20 19:59:56 -0400 <corinne_ballard> @RepMarkMeadows @realDonaldTrump Hush up and sit down.
998352653003476993 2018-05-20 19:59:55 -0400 <mgido> @TrotAlex @aaronr2000 @mervynwarren @Bharoka @CNN @realDonaldTrump He’s busy golfing, committing high treason, and porking porn stars.
998352652181254144 2018-05-20 19:59:55 -0400 <reductiologic> @T0NIMARIETERRY @GabbyGreta @keithboykin @realDonaldTrump   https://t.co/AY1cVZSyNS
998352652051337217 2018-05-20 19:59:55 -0400 <SherryWall20> @cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @realDonaldTrump @cnnbrk @TamronMSNBC @ABCNetwork @HuffPost @washingtonpost @NewYorker @nytimes @CNBC @jaketapper @BarackObama @DNC @ABCPolitics @CBSPolitics @NPR @nprpolitics  https://t.co/99lvNoSfzM
998352651883442176 2018-05-20 19:59:55 -0400 <Tamiwynot> @Nowhere27 @lost_s03e22 @realDonaldTrump   https://t.co/wmaW10PQ5V
998352651795476481 2018-05-20 19:59:55 -0400 <Porter4773> @MetisLynn58 @CindyPerlick @NancyPelosi @realDonaldTrump Kind of hard to get indictments when the people of power doing the investigations are in bed with you..
998352648012292096 2018-05-20 19:59:54 -0400 <PrissyFoxie14> @realDonaldTrump Perhaps we should test water boarding on you to see if it works.
998352646560993287 2018-05-20 19:59:54 -0400 <michaels4192> @realDonaldTrump @nytimes Pure gold
998352646057623554 2018-05-20 19:59:53 -0400 <faster34me> Remember when @JohnBrennan spied on the @Senate for Obama? John Brennan didn't resign, and eventually graduated to spying on POTUS @realDonaldTrump on the orders of Obama and the DNC if you've forgotten, maybe this will refresh your memory. #QAnon #Q   https://t.co/S4TPOuuVwZ
998352645223043072 2018-05-20 19:59:53 -0400 <notsostout> @TeGun79 @therealroseanne But now that we’ve seen it, it’s up to us to try and fix it.  @realDonaldTrump is the duct tape of politicians.
998352644065415169 2018-05-20 19:59:53 -0400 <Madeitacross> You morons know you have NOTHING SOLID against President @realDonaldTrump  so all you can do it pick at his spelling errors on Twitter. You don't do that to black people or Indians DO YOU???.... when they misspell, right @HuffPost .  https://t.co/pJaGrY0Rm3
998352640164556801 2018-05-20 19:59:52 -0400 <DavidTarbox7> @realDonaldTrump Dear Mr. President, my I suggest that you consider placing National Guard troops, in our schools until we can harden and train perminate security guards. Continue to keep up your great work.
998352639560597505 2018-05-20 19:59:52 -0400 <_LaVerdad7> @jaysambart @realDonaldTrump So far in 2018, deaths by abortion 417,800+, Medical errors 96,000+, Alcohol 38,000+, Suicide 16,300+, Drunk driving 12,900+, Drug abuse 9,500+, Gun 4,300+.. Narrow minded liberal extremists only focused on eliminating 2nd amendment. How is anyone supposed to take you seriously?
998352639329947649 2018-05-20 19:59:52 -0400 <bobwager2> @washingtonpost What's an ice agent doing in W Montana, chasing ms 13 animals @realDonaldTrump
998352635949404160 2018-05-20 19:59:51 -0400 <ladyred1956> @nelsoneagle @BrianPaulStuart @realDonaldTrump @VetsResist45 @wonderfullone @mikelm31 @KgKathryn @WYVeteran @naretevduorp Damn straight Donald J Trump raped and beat a 13 year old child in front of witnesses in 1994 willful ignorance doesn’t matter or make this go away.   https://t.co/eNlfRA9398  https://t.co/E7tVR3toCe
998352635840299008 2018-05-20 19:59:51 -0400 <jlover27> @realDonaldTrump Traitor 🤡🤡🤡🤡  https://t.co/JT5pOEp6T7
998352634649239553 2018-05-20 19:59:51 -0400 <michellesawyer6> @SpectorFaustus @reallyhowitisa @JRubinBlogger @MarkWarnerVA @realDonaldTrump @DevinNunes @POTUS @BarackObama @HillaryClinton Like that one ha?
998352634644910080 2018-05-20 19:59:51 -0400 <watsupwitthatms> @GrandsRising @AppSame @realDonaldTrump @JebBush @f No I never said that unmasking is wrong no matter who does it. We should not be in a pissing match. Wrong is wrong and death may be end result. American politics should not cause an allies death. Just that simple.
