912104359197937665 2017-09-24 19:59:59 -0400 <rosewitch8591> @realDonaldTrump Americans should never condone you!
912104358980063232 2017-09-24 19:59:59 -0400 <_itsamby> @realDonaldTrump You should be the one fired
912104358833143809 2017-09-24 19:59:59 -0400 <Poppawoof> @Dyotton @DonnaWR8 @realDonaldTrump You don't know either. Trump posted it and I am never stopping till he is impeached or fired.
912104357407072256 2017-09-24 19:59:59 -0400 <briz39> @realDonaldTrump Less than half the team is American (15/39 players), they're just being diplomatic.
912104356710948865 2017-09-24 19:59:59 -0400 <Kentucky_Bedlam> @realDonaldTrump   https://t.co/prjpjCtQ3w
912104356505427973 2017-09-24 19:59:59 -0400 <raffkind> @realDonaldTrump shut up already.
912104356203417600 2017-09-24 19:59:59 -0400 <PrimitiveMeme> @realDonaldTrump not even if they stand during the National Anthem?
912104356123516928 2017-09-24 19:59:59 -0400 <AndrewBarbera22> @realDonaldTrump Antifa?
912104356052267008 2017-09-24 19:59:59 -0400 <ThisIsGinaMo> I think @realDonaldTrump missed the point. That solidarity was against HIM and his divisiveness.  https://t.co/zGSTySLQNc
912104355628711936 2017-09-24 19:59:59 -0400 <pagigi> @FickeyScott @Team_Trump45 @realDonaldTrump We will see
912104355242717184 2017-09-24 19:59:59 -0400 <jeandiva> @realDonaldTrump  https://t.co/Wa38K1RIy5
912104354387304450 2017-09-24 19:59:58 -0400 <BertLampley> @realDonaldTrump You should expel all who salute Hitlers Flag.
912104353611137025 2017-09-24 19:59:58 -0400 <onlyjgonzaga> @realDonaldTrump DJT's "HOT AIR" tweets will go down in history as a promoter of HATE - never as a unifier. Add to D messy pile of FAILURES!
912104353447768065 2017-09-24 19:59:58 -0400 <KimAnklin> @realDonaldTrump By threatening to annihilate NK and other idiotic stmts? Make no mistake Sir, your old man bullshit rhetoric is chipping away at our safety.
912104353154125824 2017-09-24 19:59:58 -0400 <_Tukurito> @OfficeOfMike @realDonaldTrump 112% according to last official poll.
912104352961228800 2017-09-24 19:59:58 -0400 <GenX4Hill> @aljohnsinc @CollinsLowland @realDonaldTrump I'd serve my country any day of the week.   I will stand against all enemies. Foreign and domestic and that conman is our enemy
912104352659128320 2017-09-24 19:59:58 -0400 <veedenfleece> @realDonaldTrump My wife told me to tell you she thinks you're the biggest piece of shit she's ever seen in her life.  Knowing her and her candor.  Whoa😬
