1074091735171653633 2018-12-15 18:59:59 -0400 <SandyBeach903> @realDonaldTrump  https://t.co/55nMzSuSbc
1074091733418299392 2018-12-15 18:59:59 -0400 <Shannerwren> @Flash287 @eric_on_wheels @dezdezz @realDonaldTrump 😐 argumentum ad populum. Also,  Trump won the electoral college with votes from approximately 26 percent of eligible voters. Clinton got 2.5m votes than Trump.
1074091729773518848 2018-12-15 18:59:58 -0400 <uclakix> @realDonaldTrump Never in the history of our Country has the president been more dishonest than it is today. Stories that should be good, are bad. Stories that should be bad, are horrible. Many stories, like with the REAL story on Russia, Clinton &amp; the DNC, seldom get reported. Too bad!  😉
1074091729630810112 2018-12-15 18:59:58 -0400 <madbeast> @realDonaldTrump Hi, Donny. It’s my birthday today, so I just wanted to tell you to go screw yourself, you monster.  Best birthday ever!
1074091729404477440 2018-12-15 18:59:58 -0400 <Cheryl55210667> @Jamierodr10 @realDonaldTrump Im glad he's my president!!!
1074091728062308352 2018-12-15 18:59:58 -0400 <Iowagirl100> @realDonaldTrump Make a deal for your life like Agnew did... trade absolution for all your criminal crap and leave the presidency NOW, take your whole criminal family with you, and move your whole family to Russia and Don't come back. Resign and avoid prison by renouncing your citizenship!
1074091724191002624 2018-12-15 18:59:57 -0400 <LuzyanetveraMe2> @DELAESPRIELLAE @GOP @realDonaldTrump Que bendición de DIOS Estos son los sacrificios de hacer algo por la vida
1074091724077711360 2018-12-15 18:59:57 -0400 <Highhopes21> @realDonaldTrump I almost feel sorry for....nah. I really can’t wait!!!
1074091723729588224 2018-12-15 18:59:57 -0400 <Janannemorris> @realDonaldTrump  https://t.co/5WCBB1lRuP
1074091723356323842 2018-12-15 18:59:57 -0400 <joeywolfson> @realDonaldTrump MSM equals crap
1074091723209523202 2018-12-15 18:59:57 -0400 <UncleAlbert16> @realDonaldTrump has one person in charge of OMB and serving as the Acting person in charge of CFPB and now Acting Chief of Staff. I fear this is not entirely due to the lack of individuals. I fear it is a planned consolidation of power by Trump to begin to form his Oligarchy.
1074091719929548800 2018-12-15 18:59:56 -0400 <chrislongview> @tedlieu @realDonaldTrump Ted. We folks in Montana have always known that he is a grifter and a thief. Don't normalize this man.
1074091712581111808 2018-12-15 18:59:54 -0400 <sunchick8> @realDonaldTrump  https://t.co/BKXp6IKQED
1074091711289327616 2018-12-15 18:59:54 -0400 <cbritt1985> @realDonaldTrump Even with the blue asterisk it’s Hard to tell if this is The real deal. sometimes @TranslateRealDT and @realDonaldTrFan make more sense. How much Whiskey should I stock up on for your next big speech?
1074091709586264065 2018-12-15 18:59:53 -0400 <BradOnorato1> @realDonaldTrump 🤥🤥🤥🤥🤥🤥
1074091709481521152 2018-12-15 18:59:53 -0400 <mollybee58> @MichaelCastner @AdamParkhomenko @realDonaldTrump  https://t.co/lozSOOfE86
1074091708479098881 2018-12-15 18:59:53 -0400 <tango793_anne> @DTrumpPoll @realDonaldTrump I think he'll be indicted BEFORE he leaves office.
1074091707262820352 2018-12-15 18:59:53 -0400 <BelindaBluebags> @realDonaldTrump
1074091704368680961 2018-12-15 18:59:52 -0400 <zenjen53> @lesleyabravanel @realDonaldTrump The Enewetak Atomic CleanUp Vets  Marshall Islands 77-80 is DENIED HEALTHCARE. Out of 8000 who served only 400 remains alive. They are in their 50s n early 60s  https://t.co/LlwAxZeCvy
1074091702636478464 2018-12-15 18:59:52 -0400 <snkfinances> @realDonaldTrump Everyone is entitled to opinions. No one is entitled to using their political opinions as basis for law enforcement actions. Peter &amp; Lisa know this and did not do anything wrong. We can't have politically motivated investigations in America, but you are calling for exactly that.
1074091701914951680 2018-12-15 18:59:52 -0400 <cocounaloco> @realDonaldTrump Shriveled up old man, who needed to be kept for all his special signatures to three lousy lawyers in the SUPPOSED, governmental ranch that the government of real and no hoax had already declared and given too us the native white. He left word that you would win in order
1074091701059375106 2018-12-15 18:59:51 -0400 <ElleEssW> @realDonaldTrump For the record, you’re lying 🤥
1074091695535517697 2018-12-15 18:59:50 -0400 <douglasmday> @realDonaldTrump Fmcsa!!!! Electronic log mandate is unconstitutional!!!!
1074091694365253632 2018-12-15 18:59:50 -0400 <Wesmoms> @jabs611 @kelly_ramona @realDonaldTrump Or, you could familiarize yourself with the rules before saying something silly. Seats on committees are apportioned according to the percentage of representation in the House. Dems hold more seats in the house, and thus will occupy more seats on committees.
1074091694180704256 2018-12-15 18:59:50 -0400 <HamiltonGibbons> @realDonaldTrump My friend is looking a new job. I asked him and he said no.
1074091693950070784 2018-12-15 18:59:50 -0400 <GaiLibrul> @realDonaldTrump @StationKDMT Be quiet, Mussolini.
1074091693220159488 2018-12-15 18:59:49 -0400 <roberthartleyf1> @setjeff @tiger063 @realDonaldTrump If not he should be
1074091692763086850 2018-12-15 18:59:49 -0400 <whywouldyou_uk> @realDonaldTrump @shaunking certainly.
1074091690254716928 2018-12-15 18:59:49 -0400 <MiyagiP> @eric_on_wheels @dezdezz @realDonaldTrump I mean you just went from saying Obama is about to be a billionaire to saying he’s a millionaire, see how I might question your grasp on things? I am not upset about people making money. However the WAY people make their money can be abhorant whem unethical
1074091690129018881 2018-12-15 18:59:49 -0400 <Matsedi8> @realDonaldTrump @RT_com @FoxNews
1074091688761581568 2018-12-15 18:59:48 -0400 <Pmminnis> @realDonaldTrump @RyanZinke Lock him up
1074091688631648256 2018-12-15 18:59:48 -0400 <XRpCult589> @VibeMotivation @realDonaldTrump @xrptipbot Your a good person thank you 👍🏻
1074091684487667712 2018-12-15 18:59:47 -0400 <politico714> @GOP @SecNielsen @realDonaldTrump @IvankaTrump  https://t.co/3lxZD1MHg1
1074091684387004423 2018-12-15 18:59:47 -0400 <sandrea_oshea> @realDonaldTrump You're a poor, small, desperate man, and I cannot wait for you to get what you deserve.
1074091683338309632 2018-12-15 18:59:47 -0400 <swtlor1946> @JulesB1023 @realDonaldTrump You are delusional... This Administration is more honest and transparent than any since probably Reagan!   You are being lied to daily by your news sources!   Wake up!!! #WalkAwayNow #SaveYourself
1074091680951910400 2018-12-15 18:59:47 -0400 <KarinFox> @realDonaldTrump @RyanZinke His service to our NATION? Ha Haha!
1074091678540197888 2018-12-15 18:59:46 -0400 <Kimsuesmom> @realDonaldTrump Lie. They have the texts.
1074091676367577093 2018-12-15 18:59:45 -0400 <Elvis_Bob> @realDonaldTrump They’re with HRC’s emails and your inaugural hordes of people now: in a far better place; let it go.
1074091673473314817 2018-12-15 18:59:45 -0400 <Mortigan> @realDonaldTrump Ok, so how much of the wall has been built?  Enlighten me.  Or enliten, or inlighton, or enliton. However you wish to misspell Mr. President.
1074091672512937985 2018-12-15 18:59:45 -0400 <UkiVlad> @EddieKozaczek @realDonaldTrump @LizLuras Then you agree what he said about going after “those who employ them”?   https://t.co/JXUp0Cx4ga
1074091671044927488 2018-12-15 18:59:44 -0400 <jnotestein> @realDonaldTrump Don’t you have some work to do?
1074091670902206464 2018-12-15 18:59:44 -0400 <rayfashworthjr> @parscale @realDonaldTrump They are fake making fake news.
1074091667454603265 2018-12-15 18:59:43 -0400 <TRMmovement> @realDonaldTrump  https://t.co/DCa91tvPCs
1074091663662952450 2018-12-15 18:59:42 -0400 <SenninSage> @mtbdon @realDonaldTrump Oh, and there is also the parent company of the National Enquirer, AMI, also cooperating and telling the same story, and Federal prosecutors believe what they are saying, too. Why? They have proof and corroborating evidence.
1074091663482605568 2018-12-15 18:59:42 -0400 <carredan> @realDonaldTrump Trump2020 thank you sir
