1161789595559911424 2019-08-14 19:59:59 -0400 <3rdbn1> @EdwardAshton30 @realDonaldTrump Bot
1161789595224354816 2019-08-14 19:59:59 -0400 <janiszilly> @44mmvvpp @realDonaldTrump Tweet of the day. 😂
1161789594775330816 2019-08-14 19:59:59 -0400 <svizzerams> @realDonaldTrump Speaking of clueless....#TrumpRecession  https://t.co/tx2xc1vQou
1161789593068290048 2019-08-14 19:59:58 -0400 <Yuyoo39785708> @realDonaldTrump The excrement of oneself mouth mouth haven't licked clean, still always think of the rice in other people's bowl.
1161789591029977089 2019-08-14 19:59:58 -0400 <KNGillespie> @realDonaldTrump Not for long if your supposed "leadership" continues. #TrumpRecession #LiarInChief #RacistInChief
1161789590962757632 2019-08-14 19:59:58 -0400 <vmshsg> @DonaldJTrumpJr @realDonaldTrump @JoeBiden What’s the problem if China rises?? Can only the US and Trump family rise and prosper? Politics aside China’s economic rise has been good for the US and world
1161789590090473472 2019-08-14 19:59:57 -0400 <Mamaleh3> @LouDobbs @SecretaryCarson @realDonaldTrump How can you be THAT stupid and live to be THAT old?
1161789589843009538 2019-08-14 19:59:57 -0400 <xandersland> @LadyB117 @MLevineReports @BarackObama @ABC @realDonaldTrump Huh?
1161789588874125319 2019-08-14 19:59:57 -0400 <RsvpTruth> WTP @realDonaldTrump AND OF COURSE BIG PHARMA WHO MAKES OPIOIDS DESIGNED TO BE ADDICTIVE.....CANNABIS IS NON LETHAL NON ADDICTIVE FLOWER DESIGNED FOR PAIN MANAGEMENT....GODS' GIFT
1161789587397795845 2019-08-14 19:59:57 -0400 <IronOreRules> @realDonaldTrump Personal meeting ?  .. Really? You have spent more than 18 months liaising with exactly the same person (President Xi) over the trade war and delivered nothing ?  The Hong Kong situation is what I would call urgent so please leave your deal making skills out of this one perhaps?
1161789586026180608 2019-08-14 19:59:56 -0400 <MichaelUGADad> @EffieGib @winstonCovfefe We know how you feel.  We Gad 8 years of @BarackObama    Find and elect a man with a #SPINE!! #MAGA2020. @realDonaldTrump isn’t perfect, but by God he lives and fights for all Americans!! Best of luck !!
