880939000793411584 2017-06-30 19:59:59 -0400 <mindeolrae391> @realDonaldTrump 🤗🤗😍😍
880938995815002112 2017-06-30 19:59:58 -0400 <KentsWorldUS> @Stevenpost13 @bett1230 @NewsView100 @adamcbest @realDonaldTrump Lib debate guidelines:1)call names2)Label if possible, 3)personally attack,4) if still failing go for spelling errors. *facts don't matter
880938994548314113 2017-06-30 19:59:58 -0400 <badgerbadder> @WhiskeyTango325 @realDonaldTrump @POTUS Honor to Corporal Sutton for laying down his life.
880938994120503300 2017-06-30 19:59:57 -0400 <elizajanern> @CamillaDorand @TalbertSwan @realDonaldTrump @Morning_Joe Yes people disrespect him. It's because he acts like a complete buffoon non stop. Since when is that ok for our pres to act like a child?
880938991117316097 2017-06-30 19:59:57 -0400 <Melodee4> @Happyspal @NancyPelosi @realDonaldTrump Oh I have read plenty about her, and then I listened to all the words coming out of her mouth instead of a few. She's a menace at best
880938990706098178 2017-06-30 19:59:57 -0400 <TheDuderino8920> @realDonaldTrump @Morning_Joe I KNOW you watch them and your most favorite news network CNN aaaaallllll the time. You can't help it.  https://t.co/JFZTZqaLYQ
880938980883259392 2017-06-30 19:59:54 -0400 <blackricke> @realDonaldTrump Luk_6:35  But love ye your enemies, and do good, and lend, hoping for nothing again; and your reward shall be great,
880938978639310850 2017-06-30 19:59:54 -0400 <rwmerrihew58> @SunshineyDays13 @lovingmykids65 @realDonaldTrump No room at the Inn..  https://t.co/gTm8UKA13w
880938975921291264 2017-06-30 19:59:53 -0400 <redc1c4> @lea if new, he donates to women's shelters. if used, you go to prison, either way @realDonaldTrump &amp; America wins &amp; you lose. #MAGA @POTUS!!!
880938974209949696 2017-06-30 19:59:53 -0400 <kw1979> @AmericanVoterUS @HillaryClinton @realDonaldTrump @jessebwatters @pnehlen @PrisonPlanet @JackPosobiec @DonaldJTrumpJr @ScottPresler @kwilli1046 @JohnFromCranber @GeorgiaDirtRoad @TEN_GOP Well, if the shoe fits ... #Impeach45
880938971823353856 2017-06-30 19:59:52 -0400 <WLC940> @realDonaldTrump @Morning_Joe Liar!
880938970493980672 2017-06-30 19:59:52 -0400 <pianoperson> @realDonaldTrump Praying that God will give you favor with all leaders and protection.
880938970456236032 2017-06-30 19:59:52 -0400 <nthlflrsflcn21> @makenna_mg @JosephIGilbert2 @realDonaldTrump ❤️❤️❤️❤️❤️
880938970359754753 2017-06-30 19:59:52 -0400 <CretelTenisha> @realDonaldTrump You hv met with more leaders than any President. U R Freakin Awesome!! Thx u for putting us first again.
880938970179411968 2017-06-30 19:59:52 -0400 <not2deepNu> @realDonaldTrump Then how do you know it's better?
880938970003234817 2017-06-30 19:59:52 -0400 <potentialaction> @lisa756craig @BethLevine75 @tdawson2442 @DanLux_MA @DonaldJTrumpJr @realDonaldTrump Whaddayoutalkinabout?? Lyin' Don takes a golf vacation every weekend. He doesn't even spend time with his own wife and young son!
880938967117463556 2017-06-30 19:59:51 -0400 <wtfanm1965> @realDonaldTrump Repeal, repeal. Screw replacing. The government  needs to get out of the insurance business and mind its own business.
880938965808840704 2017-06-30 19:59:51 -0400 <dray3907> @TuckerCarlson @realDonaldTrump @FoxNews The left calls POTUS &amp; his supporters crazy and unfit, yet it's the left that riots and burn down private property and tried to assassinate
880938963581665281 2017-06-30 19:59:50 -0400 <apwriter> @realDonaldTrump Sorry. Moms don't allow their kids to listen to a Perv Pres.
880938962948325376 2017-06-30 19:59:50 -0400 <souzaninja> Os comentários da @FamiliaemPauta são piores que qualquer manifestação do @realDonaldTrump . #GodSaveTrump
880938961928990721 2017-06-30 19:59:50 -0400 <1rishinfidel> @MarieNiemann52 @Impeach_D_Trump @realDonaldTrump Why you here? 😂😂😂 Oh, ok, now go away! #MyPresident #YOURPRESIDENT #PRESIDENTTRUMP😍🇺🇸🇺🇸🇺🇸 #FourthofJuly #MAGA 💥
880938954668855296 2017-06-30 19:59:48 -0400 <AngelicPrado> @ConfinoFred @JeffreyGuterman @mwskb @JoeNBC @morningmika @realDonaldTrump.. it would never work- ratings would kill it fast, but drama?? 💘💥
880938954593361920 2017-06-30 19:59:48 -0400 <cyndi32994032> @KentsWorldUS @NewsView100 @adamcbest @realDonaldTrump What is the lie? Enlighten us with your knowledge?
880938952751960065 2017-06-30 19:59:48 -0400 <AynRiedel98> . @realDonaldTrump nominates another #woman!  Trump taps former Texas senator for #NATO post  https://t.co/zpYLwpyrIi #4thofjulyweekend  https://t.co/TiuAmadMwr
880938952424927233 2017-06-30 19:59:47 -0400 <marciarowe6> @AVD911 @MalcolmNance @realDonaldTrump of course he did
880938951518932993 2017-06-30 19:59:47 -0400 <Oxsplace> @patriciahaley62 @coling68 @peaceandjoy101 @realDonaldTrump @FoxNews 💩 is like a bad flu 😷 😂. Don't worry 4 more years in 20' will be final vaccination 😂.
880938950931603456 2017-06-30 19:59:47 -0400 <realallendiaz> @realDonaldTrump that's right!!!
880938946162806785 2017-06-30 19:59:46 -0400 <RemoveTheSwamp> @XNSNews @realDonaldTrump No way. WE can walk and chew gum at the same time. I will not allow the media to dictate to me how i respond to his tweeting. WE love it!
880938945852428288 2017-06-30 19:59:46 -0400 <lemonvhl> @DineshDSouza @realDonaldTrump Leftist media doesn't understand  that Trump is not Jesus. So proud of him taking a damn good shot at Russkie Mika.
880938942647984128 2017-06-30 19:59:45 -0400 <jarvok01> #AskDonaldTrump Dear @realDonaldTrump  @POTUS  I have always wanted to be a ruder prick and still think everybody likes me, any pointers?
880938941959909377 2017-06-30 19:59:45 -0400 <carolyn_janet> @bfraser747 @realDonaldTrump How??
880938938617221120 2017-06-30 19:59:44 -0400 <BarberTwana1> @realDonaldTrump I would like to be a part of a POTUS initiative to help young African Americans through empowerment seminars and a motivational campaign.
880938938357121024 2017-06-30 19:59:44 -0400 <Joe_Buck_FoxNFL> @realDonaldTrump @EileenDiana GET EM OUTTA HERE #Covfefe #maga
880938935886778368 2017-06-30 19:59:44 -0400 <JusProphet> NOW WHILE GOOD PEOPLE CONTROL HOUSE &amp; SENATE, PASS LEGISLATION MAKING EACH OF DJT'S EXECUTIVE ORDERS LAW SO HARDER TO UNDO! @realDonaldTrump
880938935588974592 2017-06-30 19:59:43 -0400 <RogueFlorida> @filmystic @IvankaTrump @realDonaldTrump Bloody facelift?!
880938934565560320 2017-06-30 19:59:43 -0400 <SallyBlue1313> @Gizmodo U freakin kidding me? On unsecured site? My social? Bday? Voting history? @realDonaldTrump you can shove this under your hair weave. @maddow
