1116491114918420480 2019-04-11 19:59:59 -0400 <Namoric> @funder @realDonaldTrump I trust a fart after I eat taco bell.
1116491114222108672 2019-04-11 19:59:59 -0400 <oceansskies> @ConradCortez @realDonaldTrump @charliekirk11 @DeepStateExpose @RedNationRising @VanbeckVance @PoliticallyRYT @LeahR77 @OliverMcGee @VanidaPeters @Aikens_Josh @hrenee80 @Pudingtane @BillPeriman @wwwillstand lol😄
1116491112196136961 2019-04-11 19:59:59 -0400 <Cleasa> @realDonaldTrump @LouDobbs @FoxNews Lou Dobbs is a crank.
1116491111797788673 2019-04-11 19:59:59 -0400 <SheevPalpy> @thelookout71 @realDonaldTrump Completely correct. But hey, you Dems never let facts get in the way of your narrative.    https://t.co/p8PxzLJQnM
1116491111671877632 2019-04-11 19:59:59 -0400 <peacemaker4u> @realDonaldTrump @LouDobbs @FoxNews Thank you @POTUS. we are enjoying the show. #MAGA
1116491106420527104 2019-04-11 19:59:57 -0400 <legdugs> .@realDonaldTrump is making @wikileaks his new coffee boy
1116491106097582080 2019-04-11 19:59:57 -0400 <travis_garlick> @ArthurSchwartz @realDonaldTrump @tedlieu Haha wow she doesn't mess around
1116491103870574593 2019-04-11 19:59:57 -0400 <DaveCla33069966> @realDonaldTrump #Enjoy #WikiLeaks  #YQG
1116491103379709957 2019-04-11 19:59:57 -0400 <bigredwavenow> @realDonaldTrump @LouDobbs @FoxNews WIN WIN WIN.... MUSIC TO MY EARS....#SCOTUS
1116491102922493952 2019-04-11 19:59:56 -0400 <yoflipper> @DonCook36783343 @thehill @realDonaldTrump Hitler got things done.  But unlike @realDonaldTrump - SOME of those things (VW, Autobahn, Infrastructure) we’re actually good.  #CagingChildren #Tariffs #NationalDebt #TaxScam #DestroyingEnvironment #Kleptocracy #Sedition #PutinsBitch &amp; Alienation of EVERY Nation - Not So Much!
1116491102557593600 2019-04-11 19:59:56 -0400 <Wattree> @Cigarvolante @washingtonpost @nytimes @HillReporter @cspanwj @realDonaldTrump @RealCandaceO  https://t.co/LisJfeZoyj
1116491101802774528 2019-04-11 19:59:56 -0400 <solapuckett> @realDonaldTrump I’m paying more than double income tax with your “tax cut to the rich”. You need to get out of our lives and go back to your pathetic life as a billionaire. America was great before you get to the WH and screw up everything. You should pay this bill not me.
1116491100850675715 2019-04-11 19:59:56 -0400 <Kediri_020> @KiwiNamelessOne @CassandraRules @realDonaldTrump @AndrewYang Tulsi is a strong supporter too
1116491099042983936 2019-04-11 19:59:56 -0400 <GaryVanWey> @TomFitton @realDonaldTrump  https://t.co/HgzGuzzm5L
1116491098296344577 2019-04-11 19:59:55 -0400 <LeiaPeison85> @IndivisibleNet @FrankTr99955639 @realDonaldTrump 23 women actually.
1116491097939697664 2019-04-11 19:59:55 -0400 <james18942964> @realDonaldTrump 170 electoral votes now tied together.
1116491096471867395 2019-04-11 19:59:55 -0400 <ronneuen> @BlueRobotDesign @realDonaldTrump @LouDobbs @FoxNews So sad you feel that way.    :(
