1108156194202411014 2019-03-19 19:59:59 -0400 <KristinPfanku> @SallyDeal4 @caborradaileho1 @realDonaldTrump I ❤️ Robert Mueller!
1108156193166356480 2019-03-19 19:59:59 -0400 <St8kout1> @realDonaldTrump @JesseBWatters  https://t.co/qWiz4sWj8q
1108156192709328896 2019-03-19 19:59:59 -0400 <HomiesTrolling> @realDonaldTrump #Trump refers to George Conway as "Mr. Kellyanne Conway" as some kind of sic burn. I understand that @realDonaldTrump is an ignorant #sexist pig, but where are the #Republican #women on this? You're okay with him thinking this is supposed to be an insult? @KellyannePolls
1108156192155684864 2019-03-19 19:59:59 -0400 <RonaldHereford> @BruceLeroyi812 @ia_snowflake @realDonaldTrump @JesseBWatters @DevinCow Trump haters out in force trying to distract and deceive the American People, trying hard to do damage control now that the truth is coming out, the storm is here and it ain’t Daniels! The schiff is about to hit the fan!
1108156191853547521 2019-03-19 19:59:59 -0400 <ERevv13> @b_e_small @Whydah1717SKS @drdaddyz @matthewjdowd @realDonaldTrump How is execution for murder not befitting to the very definition of justice? What is your standard of justice that capital punishment is not meeting?
1108156188217221120 2019-03-19 19:59:58 -0400 <mcissaguimaraes> @rmartinsrocha @ClaudeLuca_ @clissia_c @realDonaldTrump @virginiasousa Acererrê ra berrê berrê betiuberrêbeisiiguinoumora baraquiendeguri endeguri bibi... Eu sabia que uma dia essa música do Rouge serviria pra alguma coisa 😂
1108156187248332800 2019-03-19 19:59:58 -0400 <CONS1st_REP2nd> @BillOReilly Hey Bill..... #Shadowbanning is real!  I've been following @realDonaldTrump since before 2016 election but I don't see his #Tweets unless it's a RT from someone else  Im a nobody, but still, @Twitter has #banned me from seeing his tweets!!!
1108156185281286145 2019-03-19 19:59:57 -0400 <ldscott1> @realDonaldTrump Thank you President Trump for all you do for us !
1108156182114586627 2019-03-19 19:59:57 -0400 <LongJoh08051450> @BDWB3 @realDonaldTrump @JesseBWatters We have empirical evidence showing how much more the Obama administration gave press briefings than the Trump admin.  Additionally, Republicans had the house from 2010 to 2016, giving them full oversight abilities. They, like the press, came up with nothing on Obama's admin.
1108156181975949312 2019-03-19 19:59:56 -0400 <SJP74203731> @realDonaldTrump @JesseBWatters Right on!!
1108156181120339968 2019-03-19 19:59:56 -0400 <Save_US_Now> @realDonaldTrump @JesseBWatters  https://t.co/TrvLWPmHVr
1108156179937669125 2019-03-19 19:59:56 -0400 <ddbrown60> @realDonaldTrump keep going Mr. President!!!
1108156179140825088 2019-03-19 19:59:56 -0400 <ReddogOHIO> @realDonaldTrump I’m sure they’re worried. Not
1108156177727270913 2019-03-19 19:59:55 -0400 <kaosdejour> @realDonaldTrump People hate you - I’m sorry to say.  If you feel those on Facebook, Twitter and the media are on the side of democrats maybe you should try to be a human being rather than a narcissist
1108156177274138625 2019-03-19 19:59:55 -0400 <Mickeleh> Doesn’t @realDonaldTrump have a country to run? Apparently not. Instead has a headful of imaginary enemies to attack and a world full of autocratic dictators to coddle.
1108156177014243328 2019-03-19 19:59:55 -0400 <DaddyEwok> @realDonaldTrump Bull! There will be climbers! You are delusional if you think this will stop them! Slow them down, yes, stop, no!
1108156175923720193 2019-03-19 19:59:55 -0400 <mac2u> @dr_palazzolo @winstonCovfefe @realDonaldTrump From my readings, Trump did not like Reagan or his policies. they obviously met, but were not friends or on the same page. Reagan was a true constitutional conservative and preached it everyday after becoming a republican.
1108156175462232064 2019-03-19 19:59:55 -0400 <fanniew08> @realDonaldTrump  @FLOTUS  @IvankaTrump  @KellyannePolls  @PressSec  @SecNielsen  @SecPompeo
1108156174329741312 2019-03-19 19:59:55 -0400 <rvakiner_russ> @baccantuscany @krassenstein @realDonaldTrump Sada I’m not yelling give me your empirical proof YOU are correct?! Im certainly not scared I just completely disagree with your view of how the USA should be run!
1108156174111817730 2019-03-19 19:59:55 -0400 <2018Patriot> @realDonaldTrump @JesseBWatters You reap what you sow.   At least 93% of Trump's tweets are negative or insulting.  The remaining 7% are childish and foolish.
1108156173897949184 2019-03-19 19:59:55 -0400 <pukipie> @ForeverLogical @WhiteHouse This news should worry us.  @realDonaldTrump loves dictators
1108156173801455622 2019-03-19 19:59:55 -0400 <APattom> @realDonaldTrump Sigh. I wish you'd stop humiliating our country with your juvenile tweets
1108156173025456128 2019-03-19 19:59:54 -0400 <gingerf123> @realDonaldTrump  https://t.co/dxlx79LKYB
1108156171574235138 2019-03-19 19:59:54 -0400 <rjw411> @LizzieWithA_Z @realDonaldTrump @JesseBWatters @IvankaTrump @DonaldJTrumpJr @FLOTUS @WhiteHouse @PressSec @SenateGOP @HouseGOP @freedomcaucus Well, they do say he’s just like them. 🤔 Deplorables.
1108156170693431296 2019-03-19 19:59:54 -0400 <Tolltac> @arkiegal411 @realDonaldTrump @BoogerKlaus @JesseBWatters I’m staying out of politics but you are 100 percent correct
1108156166599696385 2019-03-19 19:59:53 -0400 <ComptonCar> @kg0206 @SpeakerPelosi @realDonaldTrump First things first... I voted for Johnson ! Specifically because he was the ONLY ONE of the four candidates that was not under investogstion or indictment for criminal acts.  Second, let's stop projecting labels because it fits your adopted core values and narrative...
1108156166159433728 2019-03-19 19:59:53 -0400 <candodem> @seungminkim @realDonaldTrump @realDonaldTrump doesn’t even know what NATO is
1108156165685428224 2019-03-19 19:59:53 -0400 <artisteHart> @realDonaldTrump  https://t.co/iYVWypUkND
1108156164313886720 2019-03-19 19:59:52 -0400 <TellUsWhy2017> @realDonaldTrump @JesseBWatters Isn't this the Clavin who mixed up Gayle King and Robin Roberts?  Why yes!!  Yes, I do believe it is! @DevinCow @politico @FoxNews @TheFive
