1073366958752575489 2018-12-13 18:59:59 -0400 <Josh86218798> @realDonaldTrump Sure is
1073366957544624128 2018-12-13 18:59:59 -0400 <kkalmes2> Oops, .@realDonaldTrump Now Needs the Votes of Those GOP House ‘Losers’ He Mocked  https://t.co/sHqrMf8Ke7 via @intelligencer
1073366957431214080 2018-12-13 18:59:59 -0400 <ChefHalldor> @chuck2200 @realDonaldTrump At least you are aware it's a #TrumpShutdown
1073366956928049153 2018-12-13 18:59:59 -0400 <Jeff01943643> More nepotism, f*cking @jaredkushner as Chief of Staff, what total BULLSH*T!  This asshole @realDonaldTrump is such a POS! This sh*tshow is totally out of control.   Well they can get closer anyway, they might be sharing a cell! #TrumpFraud  #IllegitimatePresident  #tRUMPtraitor
1073366956554612736 2018-12-13 18:59:59 -0400 <rnmay> @TheRickWilson Oh, the irony... is *everything* they’ve been trying to pin on @HillaryClinton simply going to come back and stick to Donald? It’s like they’re writing their own epitaph. @realDonaldTrump
1073366956382785536 2018-12-13 18:59:59 -0400 <KayDeLoach> @chris_macniak @OliverMcGee @Ocasio2018 @WhiteHouse @voxdotcom @POTUS @realDonaldTrump Cortez is not  old enough
1073366954654752768 2018-12-13 18:59:58 -0400 <vjn1> @realDonaldTrump Of for gods sake STOP LYING!
1073366954235301892 2018-12-13 18:59:58 -0400 <MyNitschke> @realDonaldTrump You stated you would own it.  Don’t blame the Democrats.  Get Mexico to pay for the wall as you promised!
1073366952972759041 2018-12-13 18:59:58 -0400 <tomcoates> @Vixen95Trish @realDonaldTrump Well, again, given that 2/3rds of them don't come in via illegal border crossings, whatever that figure happens to be will not be impacted significantly by building a $60bn wall.
1073366952326979584 2018-12-13 18:59:58 -0400 <Holy_Batgirl> @frfrankpavone @realDonaldTrump Thank you Father.  I don't understand how people think abortion is okay.  In this day and age we have learned a lot about unborn babies.  And they are human from the moment of inception.  God Bless you for standing up for what is right and good.
1073366950678548487 2018-12-13 18:59:57 -0400 <HOTTSPENCER> I Wish You A Mueller Christmas, I Wish You A Mueller Christmas And An Impeahment Next Year. Good Tidings Mueller Bring To The Real Americans And Our Kin  I  Wish You A Mueller Christmas And An Impeachment Next Year!!!!!💯👍❤😄 @realDonaldTrump
1073366948216487937 2018-12-13 18:59:57 -0400 <RRjeff47> @SenSchumer @max_burbank @realDonaldTrump Watch him. Paul "Complicit-to-a-Murder" Ryan won't bring it to a vote in the House. #MAGMA
1073366945171431424 2018-12-13 18:59:56 -0400 <Numecet> @Gochosuarez @williamlegate @realDonaldTrump He literally said "I will shut it down and be proud to shut it down" on national tv  Donald trump said that NOT any democrat it came from HIS mouth
1073366944164777989 2018-12-13 18:59:56 -0400 <Superman72683> @realDonaldTrump The people that attack and slander the President on Twitter and social media have nothing better to do, and instead of respecting the office of the President of the United States of America they attack him on social media cuz that's the only way they can.
1073366944076558341 2018-12-13 18:59:56 -0400 <birdgal10> @JudicialWatch @TomFitton @WMALDC @realDonaldTrump Pled
1073366943925559297 2018-12-13 18:59:56 -0400 <ihtalso> @realDonaldTrump #UnfitForOffice
1073366942919081986 2018-12-13 18:59:56 -0400 <DavidAmerland> @khholbrook @DavidWohl @realDonaldTrump I stand corrected.
1073366940377407488 2018-12-13 18:59:55 -0400 <glengel5300> @GeraldoRivera @realDonaldTrump You just keep supporting this crook!
1073366939916034048 2018-12-13 18:59:55 -0400 <AnglerArcher> @realDonaldTrump They are, we didn't elect them to build a stupid wall.
1073366938661851136 2018-12-13 18:59:55 -0400 <JimSmit24747730> @NancyPelosi and the Democrats will NEVER agree to fund a border wall! They know a wall will work on  keeping illegals out. They need the illegals to continue their voter base! @realDonaldTrump
1073366938448003072 2018-12-13 18:59:54 -0400 <brucedepenha> @scottsimpsonlaw @SenSchumer @realDonaldTrump Please refer to point 3:  US permanent residents have the right to be protected by all laws of the United States, their state of residence and local jurisdictions.   https://t.co/zURheOWm8l
1073366933548994565 2018-12-13 18:59:53 -0400 <her549> @fox32news @realDonaldTrump Ooo the kid is crying jajaja because he doesn’t have the candy 🤣🤣🤣🤣
1073366930793357318 2018-12-13 18:59:53 -0400 <timeload77> @TriumphofRome @PlumpyLee @wagygirl @MASMediaMktg @realDonaldTrump A lie of omission is still a lie.
1073366927928627200 2018-12-13 18:59:52 -0400 <DaggDirkler1975> @realDonaldTrump You literally said, on camera to Chuck Schumer, that you would take responsibility for a shutdown. Did you finally tell the truth or is this another lie to add to your growing list?
1073366926791823360 2018-12-13 18:59:52 -0400 <shinzifukasaka> @realDonaldTrump 今日は、ぶんぶ庵さんで、事務所の忘年会で、一人行けなくなりましたので、多分、身内の誰かが参加します！私は、留守番です！
1073366924095041538 2018-12-13 18:59:51 -0400 <SusanLiTV> A 2nd Canadian has been detained in #China just a few days after #huawei arrest! Meantime US China #TradeTalks have turned positive which @potus @realdonaldtrump is taking credit for! Covered @specialreport  https://t.co/Zi70nPB5JY
1073366921691709441 2018-12-13 18:59:50 -0400 <abintra> @DrDenaGrayson @realDonaldTrump Donald trump literally sold the United States of America.
1073366918701219845 2018-12-13 18:59:50 -0400 <LLadykat> @realDonaldTrump @WhiteHouse You actually did some work day-boy what hard day you had....lol
1073366918491455488 2018-12-13 18:59:50 -0400 <StageYaneu> @SenSchumer @realDonaldTrump I think Trump gave S.A. The Okay to murder Khashoggi. They had to know That Khashoggi was a USA Permanent Residence and this is more than just Stepping on Our Toes of America.
1073366918336151552 2018-12-13 18:59:50 -0400 <OaklandInHouse> @badgerhockey10 @Harleydadd @realDonaldTrump And that’s just insane- are you oblivious to the people from Goldman Sachs, Exxon, etc, that Trump places in office? Or the gigantic corporate tax breaks?!
1073366918298562561 2018-12-13 18:59:50 -0400 <OMGItsPlamen> @KEEMSTAR @realDonaldTrump @realDonaldTrump be like...  https://t.co/upENrevCrT
1073366918160015360 2018-12-13 18:59:50 -0400 <judsonmilligan> @Yates4Prez @williamlegate @phillip51258111 @realDonaldTrump 1 follower and he’s in the majority huh. Yea math is no good
1073366917438595072 2018-12-13 18:59:49 -0400 <jenriquerivera7> @kingandrewma @liserg14 @EileenKnapik @realDonaldTrump Does that statement fit the racism definition?
