1203101813991518208 2019-12-06 18:59:59 -0400 <KickAssfortheL2> @realDonaldTrump
1203101812322119680 2019-12-06 18:59:59 -0400 <davigatas> @orozco2027 @mj_casher @realDonaldTrump @lopezobrador_ To be fair to Mexico... it’s not only that some are bought. If they don’t accept drug money, most likely they are just killed... and sometimes even their families. Tough situation, so any effort to end that is worth trying.
1203101810434740224 2019-12-06 18:59:58 -0400 <BlacksheepU1> @GovMikeHuckabee @realDonaldTrump Breitbart...really? Come on Huckleberry, CNN won't be going anywhere.
1203101808937312256 2019-12-06 18:59:58 -0400 <CountryOverPar5> @SteveScalise @realDonaldTrump  https://t.co/fUvQh1q3N6
1203101806831656960 2019-12-06 18:59:57 -0400 <Nancymax5> @BrianKarem @realDonaldTrump I’m sure he is upstairs flushing. You know sometimes it takes 10 or 15 flushes.
1203101806647300097 2019-12-06 18:59:57 -0400 <CricketIzabella> @realDonaldTrump  https://t.co/bG2lInrLCW
1203101803182735362 2019-12-06 18:59:57 -0400 <franalmarza07> @realDonaldTrump @lezabrod I ❤️ @realDonaldTrump
1203101802603802624 2019-12-06 18:59:56 -0400 <preferfactsphd> @realDonaldTrump Bribes! Bribes! Bribes! Crimes! Crimes! Crimes! Bully! Bully! Bully!  Are you finished yet? Please stop.
1203101801731543040 2019-12-06 18:59:56 -0400 <Rod32739960> @politvidchannel @realDonaldTrump
1203101800792023040 2019-12-06 18:59:56 -0400 <Grace20972257> @diaoj @realDonaldTrump @lopezobrador_ Then leave it for good! Because America will forever be a free nation!
1203101800640995328 2019-12-06 18:59:56 -0400 <StevenRidgewa14> @realDonaldTrump Awesome if it’s true Yadig✌🏿
1203101800146100224 2019-12-06 18:59:56 -0400 <Shirley_I_Jest> @Hope012015 One way or another, the @GOP is going to excuse @realDonaldTrump's behavior.  Reason isn't going to have any effect.  Truth isn't going to have any effect.  The only thing that would change this is if he lost the base, which is unlikely, to say the least.
1203101800011878400 2019-12-06 18:59:56 -0400 <harleylewin> @onlyyoontv @realDonaldTrump @CNBC Great thoughts from real people
1203101799621652480 2019-12-06 18:59:56 -0400 <THEAMAZINJEW> @pocoecofem @RepDougCollins @realDonaldTrump The average American loves having a job.
1203101798996828160 2019-12-06 18:59:56 -0400 <LLoriCC> @realDonaldTrump Toilet flushing jobs?  Haha
1203101798703280128 2019-12-06 18:59:56 -0400 <CapeFearGOP> @realDonaldTrump ARE YOU FLIPPIN' SERIOUS??! Mexico has been in violation of the Treaty of Guadalupe Hidalgo for some time. If now isn't the time to act, then when is??
1203101798241914881 2019-12-06 18:59:55 -0400 <vmgreen65> @realDonaldTrump You don’t need to know.  Watch your words, then you wouldn’t need to worry about no whistle blower.
1203101798044700673 2019-12-06 18:59:55 -0400 <PercyRogers3rd> @jimmykimmel @realDonaldTrump @SpeakerPelosi Neither Trump nor Melania have anything between the ears that can’t be replaced by a turnip for the same results.
1203101797767766016 2019-12-06 18:59:55 -0400 <lisaquinninc> @SillyusI @LadyReverbs @ibrahimpols @realDonaldTrump @HillaryClinton @sternshow
1203101796840828929 2019-12-06 18:59:55 -0400 <PaulLambe9> @realDonaldTrump Merry Xmas.  As long as you are not homeless, or live in Baltimore.  https://t.co/O0GavrcT5I
