981320440894377984 2018-04-03 19:59:59 -0400 <WahlbergBret> @realDonaldTrump All you say is builderbugers
981320440743387137 2018-04-03 19:59:59 -0400 <Areana50> @realDonaldTrump Why don't you study something before you speak?  https://t.co/RhTwfeBu3l
981320438960803840 2018-04-03 19:59:59 -0400 <dburlingame> @realDonaldTrump How is your wonderful employment rate going to change when you blow up Amazon?
981320438914650112 2018-04-03 19:59:59 -0400 <ReeCee22> @Johnpetrus2 @realDonaldTrump Stop the caravan of Soros illegal lawbreakers. We voted for Trump to protect us LEGAL US CITIZENS. Use our military to protect our borders. Govt’s sole job = PROTECT us. A nation is not a nation without borders. Stop the crimes murders drugs opioids guns brought in byIllegals
981320438692417536 2018-04-03 19:59:59 -0400 <JacquelineM322> @realDonaldTrump Thoughts and prayers don't cut it. Oh! Hey!! Maybe NEXT time all the teachers u arm can run over to the YouTube building, or whatever public place is the next target,  and They can stop this ongoing madness. Or, better yet, armed guards at EVERY public building in U.S.A!!
981320438180495360 2018-04-03 19:59:59 -0400 <suthernx> .@realDonaldTrump  Hey Donny Boy! How does it feel to be hated? Better get used to it buddy   https://t.co/QmCejRqWEk
981320437333446657 2018-04-03 19:59:58 -0400 <DanTopp64> @realDonaldTrump You are hell-bent on playing soldier SOMEWHERE, aren’t you?
981320436570116097 2018-04-03 19:59:58 -0400 <GrandmaStormy> @realDonaldTrump   https://t.co/DsbAX2GUgu
981320436406472709 2018-04-03 19:59:58 -0400 <stevethdemocrat> @realDonaldTrump #maga #deplorables  https://t.co/ErQo5wYKSY
981320436133834753 2018-04-03 19:59:58 -0400 <CarlBud1> Rock On President Trump, Rock On !  You’ve got Acosta, Blitzer and the CNN Liars all screaming their pussies hurt ! Whaaaaa 😭  @realDonaldTrump  https://t.co/r3AaPnk24c
981320433927516160 2018-04-03 19:59:58 -0400 <copperxray> @MarkYoungTruth @realDonaldTrump   https://t.co/xnLTOpj0g0
981320432933588992 2018-04-03 19:59:57 -0400 <larry45554506> @realDonaldTrump Just like always big business screwing there brethren and government. Time to down size giant to big to fail business.
981320432212217856 2018-04-03 19:59:57 -0400 <USAKenji> @realDonaldTrump Nothing about the soldiers lost over the weekend?
981320430563840006 2018-04-03 19:59:57 -0400 <dr_ashok_m> The world breathes a sigh of relief that there are leaders like @realDonaldTrump and @jeremycorbyn still out there that puppet media criticizes so bitterly proving that they are not puppets, that there is hope yet.
981320429934727168 2018-04-03 19:59:57 -0400 <TeensArentDumb> @realDonaldTrump Thanks! We almost ran out of the thoughts and prayers you gave us the last time. I’m just glad they’re SO effective! Make sure you don’t do anything real on accident.
981320429293002752 2018-04-03 19:59:57 -0400 <Logik59> @realDonaldTrump Take your meds dufus.
981320428328140800 2018-04-03 19:59:56 -0400 <7come11_9> @CGTNOfficial Smart, and maybe ask the @International @Criminal @Court about  @realDonaldTrump s #Triplet Tweet #pieceofshit
981320425295708161 2018-04-03 19:59:56 -0400 <TorViskum> Er i USA. Synes ikke det var så lett å komme inn i landet som @realDonaldTrump skal ha det til.
981320425153196033 2018-04-03 19:59:56 -0400 <jaketaylor1020> @Ameribugger @Dawno8385 @realDonaldTrump I sure hope you mean dissolution of the org and not the death of its members. :)
981320424213622785 2018-04-03 19:59:55 -0400 <SleeeepNoMore> @ladyhawkerfinds @realDonaldTrump @DonaldJTrumpJr @EricTrump @IvankaTrump @MELANIATRUMP @GOP @davidhogg111 @Emma4Change 🍃 Arrows Up, my friends. Arrows Up 🍃  🏹 #Saruman45 #Orcs and #Trolls @GOP 🏹
981320419067211777 2018-04-03 19:59:54 -0400 <Sheree41171978> @robwilliams302 @realDonaldTrump Yep
981320418085621760 2018-04-03 19:59:54 -0400 <DVSMorpheus> @realDonaldTrump #BlueWave #LightItUpBlue #democracy 2018
981320418048053248 2018-04-03 19:59:54 -0400 <YourLifesShort> @Bennyhoops721 @realDonaldTrump Of course if he didn’t comment, you’d have a problem with that too..right?
981320416080867329 2018-04-03 19:59:53 -0400 <pujarteago1> @realDonaldTrump Obviously you did not write this tweet. It has the word”bourne”.
981320415212584960 2018-04-03 19:59:53 -0400 <bmttinman> @realDonaldTrump Again you understaffed what you have to do.  https://t.co/lWNiIOeoyc
981320414797418496 2018-04-03 19:59:53 -0400 <SylviaG14380622> @realDonaldTrump @FoxNews Clinton sold to the Russians our US Uranium, yet your upset with Trump to invite the Russian President here, seriously, even though Obama &amp; Clinton are out on their backsides, research all the actions they did that are hurting US now because of their past underhanded actions.
981320413753040896 2018-04-03 19:59:53 -0400 <ohjarry> @Ameribugger @Dawno8385 @realDonaldTrump How does the NRA relate to gun violence? Give me one answer.
981320413564342274 2018-04-03 19:59:53 -0400 <arialovelace_> @realDonaldTrump Your condolences don't mean anything. It most likely isn't even you tweeting it out. You're too busy being a narcissist to even notice the real problems in the world. Step away from the mirror and actually make a change
981320411827798016 2018-04-03 19:59:52 -0400 <RickyRayinGA> .@POTUS @realDonaldTrump unprofessional activist journalist should be ban from @whpresscorps  @PressSec @KellyannePolls there is no reason to continue to let them near #MyPresident  https://t.co/ELlYrqw4jE
981320411274268672 2018-04-03 19:59:52 -0400 <RenatePera> @realDonaldTrump Thoughts and Prayers?  Really????????  THEY’RE NOT WORKING.  #GunControlNow
981320411001638912 2018-04-03 19:59:52 -0400 <RobynLStewart> @realDonaldTrump This is you.  The rest of us really mean it.  https://t.co/3pZBAiH5HO
