1180633766349422593 2019-10-05 19:59:59 -0400 <buckygoldymom> @asbthelaw @realDonaldTrump Yeah, it’s called indictment!
1180633765573545984 2019-10-05 19:59:59 -0400 <STPFreak> @realDonaldTrump This is an absolute disgrace.
1180633765208580096 2019-10-05 19:59:59 -0400 <Hey_Jarnold11> @realDonaldTrump This is completely nonsensical 🤷‍♂️
1180633764696866822 2019-10-05 19:59:59 -0400 <rafaelsalas12> @realDonaldTrump You are very nervous, Sir?
1180633762339512320 2019-10-05 19:59:58 -0400 <WeimDreems> @Vellie77 @faisal233 @3YearLetterman @realDonaldTrump Yeah. But, a tool bag who has a water bed he didn’t finance.... so, now who looks like a fool.
1180633762209681411 2019-10-05 19:59:58 -0400 <Vicki92402710> @realDonaldTrump Desperation donnie!  It must be frightening for him to see the 1st signs of his party slowly growing a somewhat erect spine.  He's hitting back hard to try &amp; keep hold of his complicit Repugnants.
1180633761886720000 2019-10-05 19:59:58 -0400 <GordonDean19> @JamelJackson10 @GermanyTrump @realDonaldTrump Here's the proof of treason!!! 👇👇👇👇👇👇👇👇👇👇  https://t.co/e7K9LV9oeO
1180633761152671745 2019-10-05 19:59:58 -0400 <MpalaG> @realDonaldTrump @marklevinshow Release your taxes
1180633760695324672 2019-10-05 19:59:58 -0400 <DeborahVonBrod> @realDonaldTrump @marklevinshow #ImpeachmentIsComing  https://t.co/XEYuhMimDr
1180633760347254784 2019-10-05 19:59:58 -0400 <PicoDeGallos> @realDonaldTrump Covering his ass.  https://t.co/GTB7m05tE1
1180633759139422208 2019-10-05 19:59:57 -0400 <OhlWayne> @realDonaldTrump Get the hook!
1180633759005233152 2019-10-05 19:59:57 -0400 <QuakerJoe2020> @realDonaldTrump @marklevinshow  https://t.co/PJX3VwQNfj
1180633757109379072 2019-10-05 19:59:57 -0400 <realScottWargin> @LibsInAmerica @realDonaldTrump Creepy.
1180633756895469568 2019-10-05 19:59:57 -0400 <trawetsla> @realDonaldTrump @marklevinshow you are the most 'negligent' president this country has ever had, and by a huge huge margin  #ResignNow  https://t.co/6nkcO6NJ3x
1180633755905662981 2019-10-05 19:59:57 -0400 <lynnwa> @USAFirstMike @vicpenley @realDonaldTrump God Bless our President! #KA🇺🇸🇺🇸🇺🇸
