1086775309658144768 2019-01-19 18:59:59 -0400 <PostelleAgatha> @Robert_blacksmi @realDonaldTrump Amen!!!!!
1086775309590966273 2019-01-19 18:59:59 -0400 <PennelopeLouise> @tedlieu @realDonaldTrump It's not about the wall. @realDonaldTrump wants to destroy America. He was put in our White House to destroy our country. We need the illegitimate President out of our House.
1086775308856975360 2019-01-19 18:59:59 -0400 <7810o> @maziehirono @realDonaldTrump @senatemajldr I'm old enough to remember when Mitch didn't care if the President approved of what POTUS would sign. He's obstructing. #DoYourJob Mitch
1086775308173291520 2019-01-19 18:59:59 -0400 <2021Freedom1776> @DonaldJTrumPig @GOP @realDonaldTrump This is why we need a wall - Drug Smugglers Lift Border Fence...  https://t.co/Yew0XaE8vU   via @YouTube
1086775306038505472 2019-01-19 18:59:58 -0400 <madagaingirl> @AmyBirdCLE @SenJohnBarrasso @realDonaldTrump He's not going to be reelected.
1086775305887350784 2019-01-19 18:59:58 -0400 <peyton_delia> @Rick69013904 @realDonaldTrump It's going to be more than that. 5.7 is the first payment. Total cost will be at least 5x that just to build
1086775305006665728 2019-01-19 18:59:58 -0400 <Howardkm2> @RepSpanberger. Do NOT cave to @realDonaldTrump.  We did NOT put you in the HOUSE for that.  If we wanted that...we would have kept Dave Brat.  We are watching..you will NOT receive another vote from my household, nor canvassing or support if you CAVE.
1086775304515997698 2019-01-19 18:59:58 -0400 <NatWednesday> @bj33s2014 @tedlieu @realDonaldTrump @POTUS Au revoir de Canada.
1086775304423653387 2019-01-19 18:59:58 -0400 <LetsLoveOurUSA> @SenWarren @realDonaldTrump @senatemajldr Mitch who?? Itchy Mitchy? Oh he doesn’t live here anymore.
1086775303593230339 2019-01-19 18:59:58 -0400 <Mnative13> hey shit for brains @realDonaldTrump #resign
1086775302955720708 2019-01-19 18:59:58 -0400 <2MeFamilyInAsia> @SteveKingIA @realDonaldTrump Your censure, removal from Congress and return to anonymity and irrelevance in Iowa would be a monument to decency and humanity.
1086775301571571718 2019-01-19 18:59:57 -0400 <TouchMana8> @seanhannity @realDonaldTrump Who’s Rush Limberg?
1086775301261193216 2019-01-19 18:59:57 -0400 <Listen2Facts> @realDonaldTrump Learn from the Chief!  So ironic for these to march for life.  Shameful to harass elders, yet behaves like Trump. -- A Native American Vietnam War veteran was seen being harassed and mocked by a group of MAGA hat-wearing teens.  https://t.co/QYT8WQrBLL
1086775300762058752 2019-01-19 18:59:57 -0400 <MISSACACIA9> @Jon_Thrash @Sweet__Spicyy @FamiZhed @hsamuelh @LLBev @pierre_tomero @AzimutWan @Picardie_Circus @mayama38 @peythieuMP @juste_chris @Kakynette23 @solsiden_ @patriciabelang3 @RedJune2 @realDonaldTrump @biing_c @bianlian @Bitouisse @bizbuze @MachinOfficiel @bischetti_p @GDeleur @GeekInside @GUAL41 @Gros_Bourrin @Guy_Golo @GrosTatane @Misslemon19 @madamepingouin @JeanPaulepanda @Josydelacompta @Pooopooopeedooo @LeKeRmitt @alaindaniel13 @HugoAW1 @Coulommiers77 @jeancristo @paindep @golfcharlie8 @Superdaddy64 @amael005p @MassLaRondelle @corsino65 @McTourbe @MorsayMY Pire, ceux qui savent et qui te suivent quand même 😬
1086775300610973696 2019-01-19 18:59:57 -0400 <BigRfaze> @Peter_Dennehy @Drewdaddyb @SpeakerPelosi @realDonaldTrump San Diego already has a border barrier &amp; testimony from CBP and DHS from this &amp; the prior administration has been that SD finds it been extremely effective. However, parts of TX and AZ W/out barrier will tell you the lack of barrier has made enforcement &amp; control unmanageable.
1086775300476846080 2019-01-19 18:59:57 -0400 <wildwillie13> .@realdonaldtrump @flotus Melania  dressed all in black taking a brisk walk around Mar-A-Lago after flying  in on Air Force plane days after her husband grounded Nancy Pelosi amid  shutdown  https://t.co/RR12MljRk8
1086775297930858497 2019-01-19 18:59:56 -0400 <BethwhoisBeth> @realDonaldTrump No.  You are the enemy of the people and this nation. You have done more harm in 2 years than I imagined possible. #LockHimUp
1086775296223862784 2019-01-19 18:59:56 -0400 <FrankenBimmer> @DonaldJTrumpJr @realDonaldTrump Go to jail. Go directly to jail. Do not pass Go. Do not collect $200.
1086775294239956992 2019-01-19 18:59:56 -0400 <Xuanvngo> @Trumpet20201 @eugenegu @realDonaldTrump They'll see how hateful members of hr party like you are and want nothing to do with it. So go right on ahead and give me all the racism you've got. It'll make more people come to the side that doesn't spew it as much. It will also give me a nice chuckle which is a plus
1086775292935458816 2019-01-19 18:59:55 -0400 <ljhickey24> @Yamiche Right to distrust anything @realDonaldTrump says or does but ya, how do we end this nightmare?
1086775292268605442 2019-01-19 18:59:55 -0400 <KyleBigelow9> @KingAus17251946 @EdKrassen @realDonaldTrump #Dontforgetthelotion
1086775291547213824 2019-01-19 18:59:55 -0400 <Pogsie10> @freedom_moates @realDonaldTrump  https://t.co/QnJT7uLy38
1086775291110981637 2019-01-19 18:59:55 -0400 <kumquatdesigner> @brianstelter @JuddApatow Nyet again, @realDonaldTrump.🙄
1086775290645356544 2019-01-19 18:59:55 -0400 <Niki_land> @GOP @realDonaldTrump No, it is not.
1086775288686673920 2019-01-19 18:59:54 -0400 <halligan322> @GeraldoRivera @realDonaldTrump @POTUS Geraldo, you’re not really this obtuse, are you?
1086775288585994242 2019-01-19 18:59:54 -0400 <ibjuscoolin> @realDonaldTrump No not many just you and your clan..  https://t.co/qm6fcyNF2o
1086775287184949248 2019-01-19 18:59:54 -0400 <pammccoy1> @realDonaldTrump No, it's you that doesn't care. Just go away!!
1086775285280837632 2019-01-19 18:59:53 -0400 <thewriterme> #DACA definition for dummies: “We came to America illegally and we want free stuff.” @realDonaldTrump @SpeakerPelosi @AdamSchiff @chuckschumer #BuildTheWall #SchumerPelosiShutdown #SaturdayNight
1086775284848832513 2019-01-19 18:59:53 -0400 <PLOMORADIONEXX> @RealCycloneDon @realDonaldTrump Thanks Mr. President @realDonaldTrump for being such a Smart planned with Mike Pence and for make America Great again we loves you we support you and we need the wall Soon. God Bless America. We voted and will vote for you!
1086775283552727040 2019-01-19 18:59:53 -0400 <HPuholz> @realDonaldTrump @newtgingrich Absolutely true! There has NEVER been a president so unfairly and constantly attacked like Trump! The lies, the fake stories and unrelenting BS the media has propagated is utterly ridiculous.
1086775283431211008 2019-01-19 18:59:53 -0400 <Ambimom> @realDonaldTrump @SenMajLdr How do you negotiate a compromise with Democrats w.o @SpeakerPelosi &amp; @SenSchumer in the room? More theatre while a million people starve.  The @BuzzFeed report must be true as must be the Steele dossier.  FU all for screwing our democracy
1086775282747486209 2019-01-19 18:59:53 -0400 <immortality822> @NewsView100 @realDonaldTrump Trump doesn't have to do that, Democrats do it better than anyone elsel
1086775281778651136 2019-01-19 18:59:53 -0400 <JonMoseley> @realDonaldTrump   The entire solar system has been warming -- not just Earth   https://t.co/7ZNp9c3Y3l
1086775281766027264 2019-01-19 18:59:53 -0400 <k74111> @Reince @realDonaldTrump Generous...to offer back the protections (after he ended them) and get his wall (that’s expensive and doesn’t address any of the problems he listed) in return? 🙄🙄🙄
1086775281694564353 2019-01-19 18:59:53 -0400 <Wadesworld2> @PokePlay @realDonaldTrump Says nobody with half a brain!
1086775281224806401 2019-01-19 18:59:53 -0400 <ekww11> @realDonaldTrump Who did you think was going to buy that lame offer?  Really!  You need to find some wise advisors AND LISTEN TO THEM bc you are not too bright!  #TheResistance
