1091848740376260608 2019-02-02 18:59:59 -0400 <Michael18686750> @realDonaldTrump @jacknicklaus @TigerWoods Great photo of all you
1091848735867396096 2019-02-02 18:59:58 -0400 <FrankDeSomma> @GodGetslastWord @mdpaniccia @realDonaldTrump Mandatory FBI background checks for All Voters in all elections in the USA...if one person has to do an FBI background check to purchase a firearm than ALL Voters Must have Mandatory FBI background checks to Vote!!! #FBIbackgroundcheckallvoters #realDonaldTrump #NRA
1091848733573173249 2019-02-02 18:59:58 -0400 <dougbtn> @hardleft3 @agvixen53 @realDonaldTrump @jacknicklaus @TigerWoods  https://t.co/4ChXrDzKPb
1091848731849310208 2019-02-02 18:59:57 -0400 <ckconnected> @SpeakerPelosi @realDonaldTrump Ughhhh please. Invited or not, the SOTU would have happened.
1091848728036675584 2019-02-02 18:59:56 -0400 <RWPUSA> @CNNLies3 Trying to be funny? A man who had several bankruptcies self funded? @realDonaldTrump most likely is funded by the Russians.
1091848727717793792 2019-02-02 18:59:56 -0400 <FhiL616> Until you are happy with who you are, you will never be happy what you have..  #RealTalk 👍👍👍 #GodisGood 😍😍😍 #GodisLove🌻🌻🌻 #JustEnjoyLife😎😎 #neverLetAnyOnePutYouDOWN  @WhiteHouse  @realDonaldTrump  @FBI  @FBILosAngeles  @FoxNews  @Power106LA  @IsraelUSAforevr  https://t.co/kLuIqIBJXv
1091848720575021057 2019-02-02 18:59:55 -0400 <Zeus24th> @renoomokri @realDonaldTrump Good news.  I can't find this on the President's page though. Any help here @renoomokri
1091848720281493504 2019-02-02 18:59:55 -0400 <fr4ctals> @Tvic @realDonaldTrump  https://t.co/eGFww0kt1s
1091848718008152064 2019-02-02 18:59:54 -0400 <EugenioMtnez> @BrunoRguezP @NicolasMaduro Juan Guaidó obtuvo 97 mil 492 votos puede ser Presidente #Venezuela y @NicolasMaduro no puede, con 6 millones 245 mil 862. Hillary Clinton 65 millones votos, @realDonaldTrump 62 millones. Ya sabemos que a #EEUU no le importa el voto popular.
1091848715307048960 2019-02-02 18:59:53 -0400 <giacomozucco> @LukeDashjr @brian_trollz @foRk81185839 @coinyeezy @realDonaldTrump @urbanarson Such terms are not requested by any commercial company (indeed TSA policy are not company-related, but state-related) &amp; I never signed such a thing when buying tickets, anymore than I signed for random bribes when I visited third world countries, yet I had to pay to go free.
1091848713255964673 2019-02-02 18:59:53 -0400 <ScruffyC> @NIVPsalm8412 @ColeenCarswell @dennisrodman @realDonaldTrump @POTUS Dennis Rodman? Really? The guy that’s best friends with Kim Jong-Un? Trump supporters will literally take anybody at this point 😂.
1091848712782036992 2019-02-02 18:59:53 -0400 <JunnyAGJr> @TelemundoNews @jdbalart @UniNoticias @MariaCeleste @FoxNews @CNNEE @CNN @CNBC @ABC @NBCNews @CBSNews @realDonaldTrump @WhiteHouse @congressdotgov @USSenate @USRepresent @PentagonPresSec
1091848707170095104 2019-02-02 18:59:52 -0400 <6nsinvt> @realDonaldTrump does not.
1091848703055294465 2019-02-02 18:59:51 -0400 <RezNative1> @realDonaldTrump ...hey Snowflake, I got to tell you... "NANCY PELOSI IS GOOD FOR OUR COUNTRY "!!!   @SpeakerPelosi @SenSchumer @StephenAtHome
1091848702598144001 2019-02-02 18:59:50 -0400 <Sci_Resistance> @HarryDogood @andsnz @AltUS_ARC @FriendsOScience @Barbarajdurkin @BrunoPresents @brandondaly2018 @GillesnFio @Captbobdad @JaggerMickOZ @RegimeChangeBC @BobKerns @drwaheeduddin @Mark_A_Lunn @boggywood @CymaticWave @davestewart3 @dsteele713 @Gladfly1 @ClaireNewton79 @torpet002 @PAlterBoy1 @StealthFlyBy @CriticalStress_ @NikolovScience @Mathenaut @MamaMac_ @GeorgePembroke @kevpluck @d_e_mol @hllsen @HughAbercrombi3 @Lulzmouse @beegeerose @Carablades @tjipkoopmans @JWSpry @GetMyGist @SylviaD32911201 @bmartus5 @LeeLafferty4 @tan123 @realDonaldTrump @InfoWarsChannel @BarrettBrownLOL @ewarren @Piers_Corbyn @puntanenyahoo @TuckerCarlson @RonCrunt It would maybe be better named Global Pollution Crisis, but global warming and climate change are the names people know.
1091848702023614464 2019-02-02 18:59:50 -0400 <mariodeanda> @anmadaba @DiegoDelgadoD @joseserraoc @majjean_2 @jguaido @realDonaldTrump Ah caray es bonito decir que México está cambiando. Pero hasta donde se ve es el mismo México del PRI pero con un nombre renovado @PartidoMorenaMx. Ese es tu México, el de 30 millones. Ya estamos viendo el error que se cometió... @lopezobrador_ @NicolasMaduro son lo mismo...  https://t.co/5nOfOi27pT
1091848698441682944 2019-02-02 18:59:49 -0400 <lapatria2013> @DrodriguezVen @NicolasMaduro que puercos son!!! vende patria!!!. Venezuela tiene lo que necesita bajo sus pies. metan a USA y a @realDonaldTrump y verán como se los come la miseria.
1091848691550347264 2019-02-02 18:59:48 -0400 <frank_vego> @larryelder @realDonaldTrump Trump’ s Russian collusion in plain view! Wait , what?  https://t.co/VwmD7RFj2b
1091848690765975552 2019-02-02 18:59:48 -0400 <MEEENAKSHISUND1> @realDonaldTrump @jacknicklaus @TigerWoods Take rest enjoying mr drum
1091848689923096576 2019-02-02 18:59:47 -0400 <RDHenriquez7> @manuelzr @NicolasMaduro @realDonaldTrump Mel hipócrita
1091848682331205632 2019-02-02 18:59:46 -0400 <FreethinkerInCA> @joelgratcyk @NRA @realDonaldTrump @DLoesch Just made this tweet.. probably gonna scream whataboutism but why weren't you complaining about this in 2014 when this was occurring under a different President? Or are you just being a highly adaptive team player for your side....  https://t.co/M5J1GhqaKN
1091848680657825793 2019-02-02 18:59:45 -0400 <WINDELL44> @realDonaldTrump @jacknicklaus @TigerWoods Jack is much to fat...need to lose lots of weight.
1091848680653475840 2019-02-02 18:59:45 -0400 <les_deplorable> @therestofus4 @realDonaldTrump @jacknicklaus @TigerWoods Nice one 11 followers paid troll
1091848680288641024 2019-02-02 18:59:45 -0400 <AsaDeMatteo> @FrankDangelo23 @realDonaldTrump @jacknicklaus @TigerWoods There you go, holding back again. It’s not healthy. Let loose. Believe me, we all understand.
1091848679848173568 2019-02-02 18:59:45 -0400 <KeelerClinton> @realDonaldTrump you sound like a Florida panhandle redneck
1091848679156264963 2019-02-02 18:59:45 -0400 <ObOuida> @ProudResister @Rebecca38871950 @realDonaldTrump Ive been saying that also about trump.  Congress needs to somehow b able to commit him for testing. Hes crazy, and not like a fox
1091848679156260865 2019-02-02 18:59:45 -0400 <lori_nuhfer> @realDonaldTrump @jacknicklaus @TigerWoods Get back to work, chop chop.
1091848678736683008 2019-02-02 18:59:45 -0400 <WealDonoodTwump> @Mairworld2David @IHATEDONALDTR11 @princessfemme @whenUvoteUwin @DocHollywoodM @SDDNP @realDonaldTrFan @downwritemental @Carlos_Can_Do @DonnaNoble10th @mrdolcethecat @irishrygirl @trypkid @alkirtley @donnasfineart @DogedogSue @astigmafocus @psychdr100 @POTUS @eealDonaldTrump @DonaldJTrumpJr @jaredkushner @IvankaTrump @WhiteHouse @SecPompeo @GOP @LindseyGrahamSC @senatemajldr @Russia @VladimirPutin @realDonaldTrump Then I am your BEST friend!
1091848677893857280 2019-02-02 18:59:45 -0400 <TeaFleurde> @realDonaldTrump Senior intelligence briefers are breaking two years of silence to warn that the President is endangering American security with what they say is a stubborn disregard for their assessments.
1091848677398740992 2019-02-02 18:59:44 -0400 <charrion> @dukesndames @Poetress17 @Dalton_Clod @hesterfunnel @motoxer115 @EdKrassen @realDonaldTrump @jacknicklaus @TigerWoods What new business is that? Some new Russian start ups?
1091848676798914561 2019-02-02 18:59:44 -0400 <RonnieLouise2> @DebbieTheMOTS @aligiarc @POTUS @realDonaldTrump We hope for the best...but pea brains are mushy and full of hate....
1091848676790730754 2019-02-02 18:59:44 -0400 <PdespoPatricia> @Airvooocht @realDonaldTrump 👍
1091848675712733184 2019-02-02 18:59:44 -0400 <Mary90286495> @Bliss01HD @TonyPaul45 @realDonaldTrump @POTUS That was awesome!!! I hope President Trump sees your videos, and has you perform at one of his rallies!!!👍❤👍❤👍
1091848665457516545 2019-02-02 18:59:42 -0400 <1language1flag> I surethehell hope @realDonaldTrump has @DHSgov and @ICEgov at the entrances to his SOTU Address and arrest &amp; deport the ILLEGAL immigrant and also arrest @RepBonnie for aiding &amp; abetting (or whatever charge is necessary)  This horse*** HAS to stop   https://t.co/SCg6ERiGQX
1091848662458793984 2019-02-02 18:59:41 -0400 <MelissaAshcra11> @realDonaldTrump @jacknicklaus @TigerWoods Go Trump USA MAGA.
1091848661120602112 2019-02-02 18:59:41 -0400 <SeanHigginsLive> @realDonaldTrump @jacknicklaus @TigerWoods This may help Tiger get his Mojo back! #CONFIDENCE
1091848660667621376 2019-02-02 18:59:40 -0400 <239Pounds> @ElAndJohn @altNOAA @realDonaldTrump  https://t.co/ZONyOnC9YT
1091848658117644289 2019-02-02 18:59:40 -0400 <xtrabiggg> @gravelmans1 @usacsmret No one in political circles wants to talk about (except in hushed tones) that @realDonaldTrump won in large part 'cause he wasn't the Processed Political Cheese Loaf BOTH parties have run for Prez for the last 40 years. And their utter surprise at him keeping campaign promises:  https://t.co/wjMCBmu48f
1091848656448352258 2019-02-02 18:59:39 -0400 <JamesVanCamp1> @kenolin1 @FrackHazReveal #ImpeachTrumpNow #Criminal #Traitor #StupidistPresidentEver #RussianAsset #Grifter #Racist @realDonaldTrump #IllegalImmigrantDrumpf
1091848655978590208 2019-02-02 18:59:39 -0400 <JunnyAGJr> @TelemundoNews @jdbalart @UniNoticias @MariaCeleste @FoxNews @CNNEE @CNN @CNBC @ABC @NBCNews @CBSNews @realDonaldTrump @WhiteHouse @congressdotgov @USSenate @USRepresent @PentagonPresSec
1091848654816792579 2019-02-02 18:59:39 -0400 <nonurseratched> @motoxer115 @EdKrassen @realDonaldTrump @jacknicklaus @TigerWoods 🙄
1091848652421824512 2019-02-02 18:59:38 -0400 <938boomer> @Badoni22923886 @DavidWohl @realDonaldTrump @jacknicklaus @TigerWoods Agree
1091848650219810816 2019-02-02 18:59:38 -0400 <ABLAZER4Real> @realDonaldTrump @jacknicklaus @TigerWoods  https://t.co/6V9ucbhIWP
