1162151984780070912 2019-08-15 19:59:59 -0400 <Geez_LouiseGuys> @GOP @realDonaldTrump  https://t.co/8kulmZ0nmy
1162151984700579840 2019-08-15 19:59:59 -0400 <swachsman> @mike_pence @realDonaldTrump  https://t.co/wggiwJB3Y1
1162151984587313152 2019-08-15 19:59:59 -0400 <feebeegee321> @cristja1 @ElizLanders @realDonaldTrump 🤡
1162151983928791041 2019-08-15 19:59:59 -0400 <patriottj1776> @RealOmarNavarro @realDonaldTrump
1162151983685328896 2019-08-15 19:59:59 -0400 <thetoyman1> #Fox Someine is interrupting the @realDonaldTrump Rally. Crowd cheering as they are removed.
1162151982733414407 2019-08-15 19:59:59 -0400 <cardhodess> @ItsMeCathi @GOP @realDonaldTrump Can you take pictures? Cameras don’t show the empty seats.
1162151982578184192 2019-08-15 19:59:59 -0400 <Fabiani_Budmon> @MichaelRapaport @realDonaldTrump black people since he was black. would seem fitting based off your presidents logic
1162151982158819329 2019-08-15 19:59:58 -0400 <CommonSenseUSA9> @realDonaldTrump please buy Greenland #MAGA
1162151980963438598 2019-08-15 19:59:58 -0400 <clairvoyantnews> @realDonaldTrump You won’t be President forever, sir. Wait until the Thought Police start barring your admission here and there.
1162151979763847170 2019-08-15 19:59:58 -0400 <mvojtush> @realDonaldTrump How many Bankruptcies??? 🤔
1162151978908078080 2019-08-15 19:59:58 -0400 <sondrajean0905> @RealSaavedra @realDonaldTrump BREAKING: the Mass shooters of non-WHYte citizens were all inspired by 45.
1162151978803142656 2019-08-15 19:59:58 -0400 <jaynettedavid> @realDonaldTrump You are a national disgrace 🙁
1162151978652143616 2019-08-15 19:59:58 -0400 <Kwan80850983> @realDonaldTrump Can't agree more.
1162151978409103360 2019-08-15 19:59:58 -0400 <DeeMem1> @politico But the guns are ok? @realDonaldTrump belongs in an institution!
1162151977893212160 2019-08-15 19:59:57 -0400 <lawnchairlyons> @realDonaldTrump Oh Lord, you are a bad person.
1162151977469562880 2019-08-15 19:59:57 -0400 <Acknice3> @realDonaldTrump Ya right
1162151976290967555 2019-08-15 19:59:57 -0400 <prayerw62758802> @DonaldJTrumpJr @realDonaldTrump #KillTheMockinbird
1162151976093790209 2019-08-15 19:59:57 -0400 <heyrendelectric> @RealSaavedra @Craftmastah Didnt the left lose their f$&amp;king minds when @realDonaldTrump suggested that a Hispanic judge wouldn’t be impartial when ruling on his immigration policies?
