830929477278498818 2017-02-12 18:59:59 -0400 <Mandari25733571> @realDonaldTrump Here's some other "fans" of yours from yesterday Donnie.  https://t.co/dxhaUWZM3X
830929475982483457 2017-02-12 18:59:59 -0400 <joecutlass> @realDonaldTrump Maybe the same BIG crowds that were in Washington??
830929474086633472 2017-02-12 18:59:59 -0400 <RobDebVaughn> @JosephBoctor @AlyaaGad @realDonaldTrump Wasn't chosen by the American public. Over half of us voted for someone else. BROKEN ELECTORAL SYST
830929474044588032 2017-02-12 18:59:59 -0400 <JackFredrickson> @LouDobbs @POTUS @realDonaldTrump Get LAURA INGRAHAM in there NOW!
830929472052420610 2017-02-12 18:59:58 -0400 <orthoscrubtech> @realDonaldTrump You must never have thought much of yourself growing up since you have become just the biggest bully in the sandbox.
830929471687389185 2017-02-12 18:59:58 -0400 <Tiki_Tiki_Ta> @called2life @Trump_Regrets @realDonaldTrump Unfortunately, that is not within his capabilites. He has shown us who he is. #resist
830929471003836417 2017-02-12 18:59:58 -0400 <intrenationalEU> @realDonaldTrump you mean the Dakota protesters? How low is your IQ? 43??!
830929469271658497 2017-02-12 18:59:58 -0400 <CelebrityFind> Love it! Joy is one courageous woman! #grammys2017 #GRAMMYs #GrammyAwards #redcarpet #Eredcarpet @POTUS @realDonaldTrump #TrumpTrain #Trump  https://t.co/o4buHYtuZE
830929468482916352 2017-02-12 18:59:57 -0400 <rbrians2> @LouDobbs @POTUS @realDonaldTrump I'll believe this when President Trump says it.
830929467811954688 2017-02-12 18:59:57 -0400 <sharichampagne> #joyvilla rocked a bad @$$ @POTUS. @realDonaldTrump dress at the #Grammys let's show her LOVE  https://t.co/PosX0qMT2R
830929466155077633 2017-02-12 18:59:57 -0400 <BKellyBKellyB> @realDonaldTrump Why don't you take a picture and show us.
830929463479185409 2017-02-12 18:59:56 -0400 <birdboon1840> @realDonaldTrump look up paranoid.
830929463223386112 2017-02-12 18:59:56 -0400 <dodgr007> @realDonaldTrump Oly the Nazi's like you &amp; that isn't me or anyone that I know.
830929462103572484 2017-02-12 18:59:56 -0400 <parkse> @ActualEPAFacts @ukexpat19 @realDonaldTrump this🤡is hilarious. I cant help but laugh at the enthusiastic lie he just tweeted. Wth¿💭#resist
830929460358701057 2017-02-12 18:59:55 -0400 <John_Birks> @realDonaldTrump FAKE PRESIDENT
830929459540848641 2017-02-12 18:59:55 -0400 <MarilynCellama2> @CAGMSJ @KeeganNYC @realDonaldTrump Work on changing that rule...it's not right at all.
