1088224860440977408 2019-01-23 18:59:59 -0400 <BugchickSnyder> @SpeakerPelosi @realDonaldTrump  https://t.co/y8a13RIyiI
1088224857500856321 2019-01-23 18:59:58 -0400 <mufasabrat> @realDonaldTrump bye bye
1088224857328889856 2019-01-23 18:59:58 -0400 <CheeseCakeWiz35> @74403Frog @SheriffClarke @realDonaldTrump You realize lots of Republicans went on vacation too right?
1088224857224040451 2019-01-23 18:59:58 -0400 <anacarpec303> @CitizenPTY @FranHidalgoRive @saltamontesmaru @eknito @WhiteHouse @realDonaldTrump Lo mismo pienso de usted
1088224856867516416 2019-01-23 18:59:58 -0400 <HmccarthyMc> @DimetriusMonta1 @ShizSantana @athought @Lrihendry @realDonaldTrump @PressSec *You* asked me  'why she's wrong 2 you'.  *You* said 'Define right..... What's right 2 you isn't necessarily right 2 anyone else &amp; likewise'.  I don't know if I would do a better job.  I do know that I would not be able to be the WH Press Secretary and NOT do my job properly.
1088224856074801153 2019-01-23 18:59:58 -0400 <bfowler7> @realDonaldTrump Like Henry Kissinger said Trump could go down as the Best President in USA History sad that the Treasous DemocRATS feel they are more important then what the People want! Dems that is exactly why Trump is in Office he is giving us what we want and need!🇺🇸#MAGA #GodBlessTrumpAndUS
1088224855303032833 2019-01-23 18:59:58 -0400 <123forever1232> @realDonaldTrump Caterpillar  moving to Mexico. Steelmaker moving to Mexico. Rexnold  moving to Mexico,. Manitowoc moving to Mexico.  CTS moving to China. Newcor moving to Mexico. And the list goes on and on. All under Trump.
1088224855248510976 2019-01-23 18:59:58 -0400 <richardseverin1> @DickMorrisTweet @realDonaldTrump @DonaldJTrumpJr @CNNPolitics @GOP @CRNC @DRUDGE_REPORT @SpeakerPelosi @SenSchumer Yes. Compromise is the only way to get things done in D.C. these days. Even though President Trump has offered deals on the budget, the democrats refuse to even consider a deal.  The impasse continues and the dems continue the shutdown.
1088224853260304384 2019-01-23 18:59:57 -0400 <gardenbev> @realDonaldTrump @TuckerCarlson It started when fracking started, which was before Trump. Just because it finally got high enough to export has zero relation to Trump 'causing' it.
1088224853067530242 2019-01-23 18:59:57 -0400 <MayenDuke> @ogundamisi @realDonaldTrump @atiku Please this is so inconsequential in a country people are poor ! Insecurity is at it peak and citizens lack access basic service delivery..
1088224850919985155 2019-01-23 18:59:57 -0400 <msacadien> @audschmaud @cleo_peterson @LindseyGrahamSC @realDonaldTrump He’s one himself, so he could care less.
1088224850882240513 2019-01-23 18:59:57 -0400 <GEORGES58730442> @RepSamGraves @HouseGOP @realDonaldTrump Pelosi and Schumer are staging a coup
1088224848759922688 2019-01-23 18:59:56 -0400 <ChunkyTWshngtn> @vicseghetto @Pulmon_de_Susan @edro @marcorubio @jguaido @realDonaldTrump  https://t.co/5GcI8jAOZj
1088224847224659969 2019-01-23 18:59:56 -0400 <craig_martins> @PennaTony @JacobAWohl @realDonaldTrump AND JACKIE KENNEDY ONASSIS WAS IN HUSTLER COMPLETELY NUDE FRONT AND BACK. WHAT IS YOUR POINT? OH YEAH, I FORGOT TO PLEASE YOUR FRIENDS AND BASH POTUS. I GUESS YOU NEED TO BE ONE OF THE POPULAR KIDS EVEN IF YOU SELL YOUR SOUL TO DO IT!
1088224846855761921 2019-01-23 18:59:56 -0400 <dylanaptom> @realDonaldTrump No it isn’t under construction
1088224846666883075 2019-01-23 18:59:56 -0400 <pol1tically> @FredOstu @KamalaHarris @SenWarren @realDonaldTrump Did you have a gun in China? How many gun related deaths take place in a country of over 1 billion people? I am not saying China is a role model, but humor me.
1088224846289555457 2019-01-23 18:59:56 -0400 <Rjenk66> @realDonaldTrump I believe that's what they are really afraid  of. You are doing a great job. They are so afraid of this. Jobs are up, crime and illegal drug use go down. They will not have a chance in 2020.
1088224846163496960 2019-01-23 18:59:56 -0400 <tweetannylee> @davidmweissman @realDonaldTrump  https://t.co/gmjnypbD3r
1088224846117507072 2019-01-23 18:59:56 -0400 <olgamv1> Sr. @realDonaldTrump desde Venezuela le decimos que si usted contribuye con la salida de Maduro NOSOTROS LE CONSTRUIMOS EL MURO EN LA FRONTERA DE MEXICO Y TAMBIEN SE LO PINTAMOS!!!
1088224845933039618 2019-01-23 18:59:56 -0400 <BrandiJones3295> @jnflynn121 @JeffreyGuterman @realDonaldTrump Hope you are spot on.
1088224845219823617 2019-01-23 18:59:55 -0400 <MikeDevo> @jonwoock @DavidWohl @realDonaldTrump What policies? Tax cuts for stock buybacks? Maybe it was waiting for two years to address a fake crisis?
1088224843970105345 2019-01-23 18:59:55 -0400 <TonyB> @realDonaldTrump  https://t.co/iJVvJwxmQm
1088224843592478721 2019-01-23 18:59:55 -0400 <Wenfo_Song> @realDonaldTrump America governments can assassinate their own characters of freedom, democracy and rule-of-law, but why America governments have assassinated my characters of “Faith, honesty, integrity, humanity and independence?”
1088224843420569602 2019-01-23 18:59:55 -0400 <MysterBobC> @Rise1Soar2BFree @realDonaldTrump and she supports stupidity, by opening her upper front hole and spewing nonsense!
1088224842413940736 2019-01-23 18:59:55 -0400 <coltspark> @BenedictDonald_ @realDonaldTrump MAGA BABY.  🇺🇸🇺🇸🇺🇸🇺🇸
1088224842355273728 2019-01-23 18:59:55 -0400 <shawnb_s1> @bk_mommie @spdustin @LindseyGrahamSC @realDonaldTrump Don’t you just love Twitter!!  I think he was right on that tweet.
1088224842132918273 2019-01-23 18:59:55 -0400 <AAbelaal> @7amd4y @realDonaldTrump ششش فك يو
1088224841587716096 2019-01-23 18:59:55 -0400 <309Cobra69> @charliekirk11 @JoWazzoo @realDonaldTrump Stick it to her Mr President.
1088224841583468545 2019-01-23 18:59:55 -0400 <NCFIREJames> .@RepMarkMeadows .@realDonaldTrump #ICE arrested more than 80,000 #IllegalAliens in 2018 with #DUI charges, convictions  https://t.co/EdNMP7sbwZ #BuildTheWallAndCrimeWillFall  #EnoughIsEnough #ncpol  #ncga
1088224840505528321 2019-01-23 18:59:54 -0400 <StlHarold> @realDonaldTrump Noise campaign is the communication strategy apparently.  https://t.co/3XdSsTQhsn
1088224840492953603 2019-01-23 18:59:54 -0400 <InsuranceChomp> @SpeakerPelosi @sparkedcat @realDonaldTrump REMOVE PELOSI NOW  To remove a Speaker from the job, a member of the House needs to file a motion to vacate the chair. This would challenge the leadership of Speaker Pelosi and call for a new election for the speakership. Its rare, but Pelosi’s FAILURE to do the People’s Business
1088224839830102017 2019-01-23 18:59:54 -0400 <nowasforjason> @CongressmanGT @realDonaldTrump @SpeakerPelosi Stand up for your constituents, Congressman. Not a scandal-ridden president’s political stunt.  Show a bit of backbone.
1088224837074599938 2019-01-23 18:59:54 -0400 <mlj227> @realDonaldTrump She must be having a really hard time having to lie so often. I am sure that it goes against all the values that she was taught growing up. It would be a blessing if she were allowed to step down. This is ruining her health. You should be ashamed of yourself!
