953416574098079744 2018-01-16 18:59:59 -0400 <TerriIsSickOfU> @SenateDems @realDonaldTrump Yes. He will.
953416572780990464 2018-01-16 18:59:59 -0400 <Michael33154515> @BitcoinTre @FBI @CIA @realDonaldTrump part of scam here in United States ..
953416572181340160 2018-01-16 18:59:59 -0400 <ryanwstrate> @realDonaldTrump I think you are confused: you ARE the worst president.
953416571497664513 2018-01-16 18:59:58 -0400 <Mxyzptlk4Trolls> @Gene_Starwind @tedlieu @JoyAnnReid @realDonaldTrump Do you ever bother reading before you spew?  https://t.co/2XxLnbtpKp
953416571476684805 2018-01-16 18:59:58 -0400 <guinth> @realtimwilliams @realDonaldTrump 0°  Ice/Snow Playoff loss to the Jags Lost Cole Lost McCutchen Trump coming to town Any good news from the Pens or Mueller? Come on 2018...
953416571246047233 2018-01-16 18:59:58 -0400 <EmmaCTZen1> @IvankaTrump @PressSec @realDonaldTrump @SBALinda @SecElaineChao @SBAgov @USDOT   https://t.co/Sn9L3KBfqe
953416570860199936 2018-01-16 18:59:58 -0400 <Capn_Positive_> @Realisticin2020 @realDonaldTrump @HuffPostPol The dems will be shutting the gov down not the gop
953416569048174592 2018-01-16 18:59:58 -0400 <DebSheehan6> @SheriffClarke Not nearly as disgusting as watching sitting congressman @CedricRichmond verbally sexually harassed @KellyannePolls  Where were the republicans @SpeakerRyan @SenateMajLdr @realDonaldTrump
953416569044045824 2018-01-16 18:59:58 -0400 <Richard28353205> @President1Trump @POTUS Dr. Ronny Jackson was magnificent as he reported our @POTUS @realDonaldTrump was in great health with perfect scores on cognitive tests.  More than anyone to date, he totally disappointed the repugnant scum of the #MSM that kept trying to elicit some morsel of bad news for POTUS
953416565541683200 2018-01-16 18:59:57 -0400 <SandyMc29353729> @SenateDems @realDonaldTrump Well he has tweeted he MADE MONEY off last shut down and would like to do it again!!!
953416565415956482 2018-01-16 18:59:57 -0400 <ShriaraG> @realDonaldTrump The southern border is not very dangerous.  Yes we have issues. But instead of throwing a wall up, how about adding personnel and technology.  Things that will actually support safety and security of American's and America.
953416564308631552 2018-01-16 18:59:57 -0400 <Preshus1205> @realDonaldTrump @FoxNews Fake news!!
953416563755028480 2018-01-16 18:59:57 -0400 <MonicaWillams23> @realDonaldTrump @FoxNews FAKE FUCKING NEWS!
953416562853273602 2018-01-16 18:59:56 -0400 <5thdankenpodave> @LouDobbs @realDonaldTrump @RepMattGaetz @POTUS   https://t.co/S75XhMVF9G
953416562819690496 2018-01-16 18:59:56 -0400 <micamacpaddywac> @IvankaTrump @PressSec @realDonaldTrump @SBALinda @SecElaineChao @SBAgov @USDOT NO One Cares!  You are NOT the first lady. Get out of Melania's way so she can earn her citizenship!
953416561712386053 2018-01-16 18:59:56 -0400 <watchthatred> @realDonaldTrump Great statistic from the network that TOADYS to you on an hourly basis. A real man gets multiple sources for his #truth
953416561502470144 2018-01-16 18:59:56 -0400 <Esthermsmithart> @TomthunkitsMind @realDonaldTrump Yay!!!  https://t.co/KA1ncbCMFm
953416557211930624 2018-01-16 18:59:55 -0400 <lgb1060> @JackPosobiec @realDonaldTrump How do you stop them from finding you??? I replied to Eric Billing and got this reply back. .@JackPosobiec  https://t.co/171poaJ36m
953416557132103680 2018-01-16 18:59:55 -0400 <rosiero50> @realDonaldTrump Do you know when to use a period and when to use a question mark?
953416553898348544 2018-01-16 18:59:54 -0400 <IsabellaLitchka> @realDonaldTrump That is, providing it’s Christian.
953416552564568070 2018-01-16 18:59:54 -0400 <WyclefJeanSully> @nowthisnews @realDonaldTrump  https://t.co/tJqJM8HIuP
953416551293751296 2018-01-16 18:59:54 -0400 <cares_matic> @BunkShaner @realDonaldTrump You could easily add 100 more stooges to that pic and barely be scratching the surface
953416551138562049 2018-01-16 18:59:54 -0400 <BetsyAnn2> @catherinebh @nickoneill @realDonaldTrump Ha ha ha ha ha ha!
953416550614265859 2018-01-16 18:59:53 -0400 <lauriekay21> @realDonaIdTrimp @realDonaldTrump Because it is the truth.. you are actually at a point where you can't tell the difference between truth and lies...the economy may be doing well, but it sure isn't because of you and once you get done taking care of your rich friends, the bottom will drop out...we will suffer
953416549536354304 2018-01-16 18:59:53 -0400 <SweetTrini_Jin> @Wakcedout @Proud2Progress @krassenstein @TrumpFranceInfo @realDonaldTrump @FoxNews But I don’t care about Hilary...she is not in a position to implement policy....trump is
953416545203613697 2018-01-16 18:59:52 -0400 <D8881Roger> @watt4prez @nytimes @realDonaldTrump You don't get it. Red states pay more because blue cites/states are forcing red states to participate in socialism, by paying taxes you should pay.  Voting $15 un-employees ppl, and makes benifits recipients in NY,  &amp; a raise in taxes. NY should recall the 70's.  https://t.co/lfpL7SKU2I
953416545165705216 2018-01-16 18:59:52 -0400 <terryk949> @realDonaldTrump Since you have a majority in the House and Senate, why is it that the Democrats are giving you trouble #ConManDon?
953416544381386752 2018-01-16 18:59:52 -0400 <PatedBears> @O_Mitch_O @JackPosobiec @realDonaldTrump Wow, you’re happy an apparatus of the Turkish govt is hacking Americans.  That is deranged.
953416544259784704 2018-01-16 18:59:52 -0400 <johniii50> @coached84 @EricTrump @realDonaldTrump @StJude Could we have a list of these sins. And a list of yours.  He who has not sinned. Let him cast the first stone.
953416543983022080 2018-01-16 18:59:52 -0400 <conte_margaret> @realDonaldTrump F off
953416541483257856 2018-01-16 18:59:51 -0400 <MassachusettsM4> Despite today’s report, I’m told surgery to remove @realDonaldTrump’s lips from Putin’s ass was not a success.
