1105257091139170306 2019-03-11 19:59:59 -0400 <MalaMujerFuerte> @realDonaldTrump Shut up.
1105257091034505216 2019-03-11 19:59:59 -0400 <FortierJohnny> @bentonlee1 @SecretaryRoss @IvankaTrump @realDonaldTrump I agree. I understand we cannot all get maximum pay.
1105257087662198784 2019-03-11 19:59:59 -0400 <Robert4LMAD> @SimmeringBlue @realDonaldTrump With the turnover in his staff he’s REALLY moving things forward now 🙂. Draining the swamp is a good idea!  Love the look on Pelosis face in this GIF😂🤣👍🏻👍🏻🇺🇸
1105257087632850944 2019-03-11 19:59:59 -0400 <Meredith2714> @realDonaldTrump Yesssssssss
1105257084231319552 2019-03-11 19:59:58 -0400 <MaryjaneKatt> @rexthetvterrier @realDonaldTrump MAGA 🇺🇸 2020  https://t.co/JSrkrhGGi1
1105257083979685888 2019-03-11 19:59:58 -0400 <BraciglianoR> @bjcreigh @realDonaldTrump who cares.....
1105257082155139074 2019-03-11 19:59:57 -0400 <Huge_McRunFast> @GOPChairwoman @realDonaldTrump @IvankaTrump Including? More like proposing those that want leave raid their social security. That's pretty ignorant plan.
1105257082146701312 2019-03-11 19:59:57 -0400 <maggiesmom68> @SaysHummingbird You mean robs? That's our money in Medicare!!  @realDonaldTrump @SpeakerPelosi
1105257073145794561 2019-03-11 19:59:55 -0400 <sikoraland> @realDonaldTrump Say fewer extremely specific words. Explore vintage vocabulary if you must. Use creative vocabulary but NEVER LET THEM MISCONSTRUE YOUR WORDS/TWEETS.
1105257072491483136 2019-03-11 19:59:55 -0400 <StevieOakley> @MNSchuyler @ItsMeCathi @realDonaldTrump P.S.  Marry Me.
1105257068884357125 2019-03-11 19:59:54 -0400 <Michael44820> @TheOrignalMoose @CraigSBPA @benshapiro @AOC @realDonaldTrump Not at all trying to hide it...
1105257066288033792 2019-03-11 19:59:53 -0400 <sarahourari> @nmahrez7 @realDonaldTrump we really gonna ignore the "delays elections" part of that
1105257065596022785 2019-03-11 19:59:53 -0400 <mscraft123> @realDonaldTrump Have you seen Marilyn Lockheed lately?
1105257062077026304 2019-03-11 19:59:52 -0400 <PolsinelloV> @RepBuddyCarter = 💩 4 🧠 Climate Typical Cover Your A$$ Politician VERSUS Great @DevinNunes What Is This Stupid Socialist “Straw Police 👮 BS” Thank YOU Devin @Jim_Jordan @RepMattGaetz @realDonaldTrump @ThomasPKennedy3 @JohnLeksander @joyzee714 @HLAurora63 @ASimplePatriot  https://t.co/y5P9vIK2Gy
1105257056238477313 2019-03-11 19:59:51 -0400 <RKJ65> @GOPChairwoman @realDonaldTrump @IvankaTrump  https://t.co/vVLd3aS75v
1105257056083144704 2019-03-11 19:59:51 -0400 <ginaC777> @spectrumser @GranvilleReal @Sumrdream2018 @FashionabAnon @_twiceborn_ @Txarmadilla @nzgrant17 @gw_hope @woerzone_g @VeteransAlways @qjmoss66 @LoveBling6 @MrsHandyRU @MarySum27800497 @Slr64Q @930VM @JohnGrahamDick1 @StylistArtist @Taradea08775439 @StormIsUponUs @BusyElves @MrsMogul @realDonaldTrump @AlexandriaOcc10 @AlecCurrier @duckmeat01 @qanon76 @shawnloftin @Herbielovebug4 @Eduarda97989721 @Florentzia64 @Messenger983612 @Delmarva123 @VincentCrypt46 @AJPerkins66 nanu-aluminum...tiny bitsy particles to reflect the sun back to itself. you breath it, it goes straight to your brain. Suns UV rays too high all over the place. not normal for the sun to be a blinding silvery white blob in the sky that blinds you  https://t.co/Y69poDMr0K
1105257054216904704 2019-03-11 19:59:51 -0400 <Katheri26646803> @realDonaldTrump What in God's name are you talking about? I read this tweet three time and am still not sure.
1105257052472000514 2019-03-11 19:59:50 -0400 <william93316261> @realDonaldTrump Thanks m
1105257051599581189 2019-03-11 19:59:50 -0400 <JJPeregrine> @DonorHawaiian @chrisr0924 @RyanHillMI @realDonaldTrump Full headers: Michael Jonas, "The downside of diversity," August 5, 2007 =&lt;&lt;Boston Globe&gt;&gt; report on @RobertDPutnam Ph.D's (c.f., &lt;&lt;Bowling Alone&gt;&gt;) thorough study of US communities:   https://t.co/UNwkjxQtuF
1105257049737310214 2019-03-11 19:59:49 -0400 <sallyKP> @RickGooding2 @POTUS @realDonaldTrump  https://t.co/TJjyNWhxpF
