945081653172555779 2017-12-24 18:59:59 -0400 <Lambo21976> @MichaelRapaport @realDonaldTrump Tell his ass Mike!!!
945081652723765248 2017-12-24 18:59:59 -0400 <treandadukes> @ouchinagirl @giraffeguy1962 @YahnelE @realDonaldTrump @FoxNews Yeah congratulations on all of your whining!
945081652576784384 2017-12-24 18:59:59 -0400 <TheGospel9> @realDonaldTrump I'm tired of this damn depression
945081652337709057 2017-12-24 18:59:59 -0400 <sheazee57> @realDonaldTrump Flake wears name well. Suites the democratic party .lots of flakes and snow flakes
945081643840176129 2017-12-24 18:59:57 -0400 <TimWiley17> @coupsflower @JCILU @laxietoo @jimmybehel @MrsAkerblom @JohnnyBledo @realDonaldTrump @mikefarb1 How you figure?
945081638253481985 2017-12-24 18:59:55 -0400 <622OHkaren> @realDonaldTrump Yes. You will be immortalized for destroying Alaska, too. SAD.
945081637427130368 2017-12-24 18:59:55 -0400 <Purrcival> @bootsqueak @ShafPatel @realDonaldTrump I didn't "promote" anything. I simply noted that the Left was planning protests that day, and that it looked like Antifa planned to be there
945081637276176384 2017-12-24 18:59:55 -0400 <WilliamLobb> @POTUS @realDonaldTrump - put down the steak knife, get off your fat ass and do something about this.  https://t.co/zwhIwHPtWs
945081631794135040 2017-12-24 18:59:54 -0400 <Kamlu28> @estasmith15 @bradclyne1 @realDonaldTrump @FoxNews You are correct. trump and the GOP are a joke
945081630456270849 2017-12-24 18:59:54 -0400 <MichaelViscon12> @realDonaldTrump A lot of good this will do the people after 8 years the rich keep their tax cut and the people pay significantly more tax to fund this. Please explain how this is winning.... but then you really aren’t one to finish the job, if it’s looking shaky you declare bankruptcy (5 times)  https://t.co/a1jrTAZkC4
945081630053498881 2017-12-24 18:59:54 -0400 <Emo_Luments> @littlesueellis @TioSantiagog @Wildsteamroller @laxietoo @MrsAkerblom @JohnnyBledo @realDonaldTrump @mikefarb1 I was just in Croatia, Slovenia &amp; Montenegro. Melania is the home grown girl and they like her ok, but they cannot STAND Trump. It was truly embarrassing to listen to that &amp; know they were all correct, he's an ass and a Nazi.
945081625272094721 2017-12-24 18:59:52 -0400 <joannelarae> @ThreeTouchDowns @221bebop @sandrafaulkenb1 @JanGriffey @ananavarro @realDonaldTrump   https://t.co/vaT2pA376V
945081625100070912 2017-12-24 18:59:52 -0400 <safetysuzie> Wow @realDonaldTrump this is amazing.  https://t.co/11nihkAXzy
945081621329276928 2017-12-24 18:59:51 -0400 <ojodio_jodi> @realDonaldTrump Donald your Act is old ! Every time you say Fake News I say yes and you should stop watching the Fox propaganda Fake station .No wonder you're so confused. Your leadership style is offended and non productive.Wait until your ppl. figure out you screwed them .
945081620637331457 2017-12-24 18:59:51 -0400 <Ebinsmile> @TheRickyDavila @realDonaldTrump Agree.  For now here's wishing you and yours a wonderful Christmas full of the Love and Kindness you have shown in so many of your tweets to all of us here on twitter. Stay safe, stay the beautiful person you are. You are very appreciated here, hope you know that.
945081618137362433 2017-12-24 18:59:51 -0400 <jmascar33> @AndyBrookins22 @sarahwoodwriter @realDonaldTrump How is it their fault when these people are the first to go to the ER or call 911? The hospitals will charge more for services which is past on to the insurance carriers. If these people don’t pay the thousands in bills they create who is going to pay for it?
945081607647621120 2017-12-24 18:59:48 -0400 <LoriBianco2> @realDonaldTrump Poor Trump Supporters should watch Erin Brockovich since they will be working under relaxed  environmental  and workers regs similar to PG&amp;E. They contracted cancer as did the people in the community. I guess he is starting in Alaska. Time will tell. Regs were there for a reason.
