869342589811642368 2017-05-29 19:59:59 -0400 <MarcieAviles> @realDonaldTrump  https://t.co/pWwFzcRLIf
869342589295755265 2017-05-29 19:59:59 -0400 <Tom21663> @anthonyzahn @CherokeeImp @realDonaldTrump BS. Leftist media said he could not be elected, if he did markets would crash. Obama hated businesses as all leftists do. Trump trumped 'em.
869342585453649921 2017-05-29 19:59:58 -0400 <_StandUpNow> @WhiteHouse @realDonaldTrump @GOP  Its embarrasing that Trump represents the USA!!!  https://t.co/r9iYlnkgcw
869342583687979008 2017-05-29 19:59:58 -0400 <ZellnerCrimeLaw> @Nazbear1963_now @la_wahwah @Ayden72 @AnonymousMyers @not2beme @TManitowoc @CrazyLadie @GetPugs @bk79w @Rookie1082 @scouse_pies @Missziggy @anditurned @Jacks1961 @0x0000004C_ @Diggem242 @ScoobydaDog @Reform_Justice @Osterizer_KIT @cadaverdogbrutu @AnalyticsIDA @xXlinekeXx @BebeParker @LeahMarieKK @PubTender2 @realPooPooSmith @spurrr_7 @uga0214 @sahara_sun_ @Nex20 @Minerva8918 @JJohnson2u @novias_info @FlimsyBuffalo @Nuffaboutme @LindaSelden @yankfan2010 @bzaps1111 @LaurasBlue @achen_s @MCGriesbach @Baseljanitors @CarlaMarco35 @irish_woman @BadgerTheWitnes @SESKILL @BSinWisc @HenseThomas @joybean_luv @realDonaldTrump Beautiful &amp; the right idea about right now
869342580630278144 2017-05-29 19:59:57 -0400 <DACAIs4Dummies> @IMISS3044 @realDonaldTrump @POTUS  https://t.co/qEzKkiCdke
869342571230834688 2017-05-29 19:59:55 -0400 <KellyScaletta> @kinnally_tom @Madisongrac7 @realDonaldTrump A verified robot with 10K followers? Sure.
869342568982630400 2017-05-29 19:59:54 -0400 <jiggy_Ninja_> @realDonaldTrump if the sea levels lower then the ocean wont be so deep and it be easier to study/discover the subterranean creatures/Ruins
869342567371915265 2017-05-29 19:59:54 -0400 <uniqueprophet> @realDonaldTrump, @POTUS TRUMP, AG SESSIONS AND THE SECRETARY OF STATE NEED TO DO,A TOP TO BOTTOM INVESTIGATION ON THAT.STOP THEM. NO ONE IN  https://t.co/hs42G9meg1
869342565765595136 2017-05-29 19:59:53 -0400 <AyeshaAmbreen> @LavenderLibv2 @MarthaWashing10 @bessbell @Twitter @jack @realDonaldTrump True. But most of the rants/communication on Twitter are almost one-sided. Twitter was designed to adapt. #justsayin
869342564213678080 2017-05-29 19:59:53 -0400 <johnson_tomcat> @PressSec @nypost @POTUS @realDonaldTrump No statement on the Son-In-Law being a traitor? I guess that's an answer.
869342558341787649 2017-05-29 19:59:52 -0400 <CHHolte> @PointOfMatter @HannitysHead @realDonaldTrump Of all the insane things I can't bash him for singing along.
869342554726305793 2017-05-29 19:59:51 -0400 <mariecountryman> #Barfnews @KatG4 @bunkybun @lilith2u @Gdad1 @buell003 @realDonaldTrump @anarcKat @deeshanger @awakenppl @anti_orange1 @Dennis_Lintz  https://t.co/hTnzTbbgmP
869342553572855809 2017-05-29 19:59:51 -0400 <gmgaston> @JustinTrudeau @Pontifex Look at how engaged Pope Francis is with Trudeau.... respect on both sides. Quite a difference when @realDonaldTrump was there. #TrumpShame
869342552314589184 2017-05-29 19:59:50 -0400 <Garygaryaug> @aOverit @no2libs007 @realDonaldTrump @FoxNews @RNC @RandPaul Don't forget his fast talking slipperysidekick  https://t.co/4FS2JKzxoQ
869342546354475008 2017-05-29 19:59:49 -0400 <martiniklein> @realDonaldTrump As she should be. Plug the leaks. Prosecute or fire the leakers.
869342542097240064 2017-05-29 19:59:48 -0400 <NonnaSJF> @andylassner @realDonaldTrump 😍😍😍
869342541707194369 2017-05-29 19:59:48 -0400 <SpaceArtAl> @realDonaldTrump Why must you always throw in a lie about Obamacare? If you have a better idea bring it forward for consideration.
869342541279367168 2017-05-29 19:59:48 -0400 <joezerona> @DontGetCooked @antoniodelotero @realDonaldTrump He never left his "empire" he's using his office to make more money #ignoranttrumpfollowers
869342536418066432 2017-05-29 19:59:46 -0400 <farandwee> @realDonaldTrump U really don't get the meaning of Memorial Day,do u?It's a day of remembrance &amp;respect 4those who lost their lives for us."Happy" indeed...
869342524921524225 2017-05-29 19:59:44 -0400 <GloriaQuack> @realDonaldTrump Pay your respects to the men who actually served, unlike you who used your father to get out of service.
869342524908990464 2017-05-29 19:59:44 -0400 <ecwycoff50> @OccupyDemocrat1 @bonnieblue719 @JayRodge66 @PeterJReason @mtanner321 @ANOMALY1 @POTUS @realDonaldTrump @FLOTUS @MELANIATRUMP And Obama's grandmother said he was born in Kenya! She's the only one I  believe. And after the shit O'commie has done, he deserves nothing!
869342524212740097 2017-05-29 19:59:44 -0400 <Felicious1908> @ScarletJedi @OhSoJaszee @Always124529 @worst_potus_evr @SarahSuzySally @OverUnderClover @Impeach_D_Trump @realDonaldTrump That is pretty funny
869342523503902721 2017-05-29 19:59:43 -0400 <Rageagainstrepu> @RealTimBirch @JbthomJohn @realDonaldTrump My uncle fought in Vietnam and got messed up from agent orange. A trumpet said I was a whiny little bitch and he prob never served. Wtf 🇺🇸?
869342514410659843 2017-05-29 19:59:41 -0400 <grumpy2481> @GOP @TheDemocrats On this Memorial Day, in honor of the heroes - maybe you could work together to save us. @realDonaldTrump is bad news.
869342509809508352 2017-05-29 19:59:40 -0400 <TheMichaelT> @Alli48187 @SoCalValleyGal @CodeAud @realDonaldTrump @BarackObama Toxic like your your boy @realDonaldTrump saying about war hero @SenJohnMcCain "I don't like the one's who get caught!
869342507938660352 2017-05-29 19:59:40 -0400 <AltProfessor> @realDonaldTrump No, they "disparage" it because your tweets make you look like an #idiot and a #FakePresident. #FakeNews #FactsMatter
869342506080653312 2017-05-29 19:59:39 -0400 <dollhouse10> @realDonaldTrump Republicans have shown a distinct lack of caring for healthcare so far, so I wouldn't hold my breath.
869342501857001472 2017-05-29 19:59:38 -0400 <JenRamos> @ChrisEvans These people feel emboldened by @realDonaldTrump ....&amp; he needs to speak out about this before it continues.
869342498627371009 2017-05-29 19:59:37 -0400 <DodgesHodge> @RJSzczerba @realDonaldTrump No Trump champion but Mike Flynn  had once been a highly respected, well spoken officer. Sad that he allowed himself to fall so far.
869342493992787968 2017-05-29 19:59:36 -0400 <AgileFleetfoot> @realDonaldTrump gets a lot of flak, but gave a beautiful #MemorialDay speech
869342491895410689 2017-05-29 19:59:36 -0400 <dawndsokol> Perhaps that's why I've always hated @realDonaldTrump. I sensed he was like this...it's easy to spot in a person once you've dealt with it.
869342491715051520 2017-05-29 19:59:36 -0400 <dotinator68> @realDonaldTrump @POTUS This is what a real leader looks like, Trump  https://t.co/q89vxRv7Bs
869342490486243329 2017-05-29 19:59:35 -0400 <COPi314> @laxietoo @spudmonkey66 @turnercampdave @Perpetual_Now @JennMarx66 @joepabike @realDonaldTrump .@marcorubio has been undermining it for several years now, and bragging about it  https://t.co/A8NvuyBe7k
869342490326835200 2017-05-29 19:59:35 -0400 <DaveMoore20> @realDonaldTrump You support assaulting reporters? YOU SUCK!
869342488481353728 2017-05-29 19:59:35 -0400 <ChangeTheLAUSD> @WDH1939 @azalben @realDonaldTrump Are you triggered by the truth? President #TinyHands was a draft dodger!   https://t.co/0UAeDwse2Z
869342480797286400 2017-05-29 19:59:33 -0400 <cnarq02> @realDonaldTrump Where can we find one?
869342475965648899 2017-05-29 19:59:32 -0400 <jshuawilliamdun> @realDonaldTrump @JohnnieGuilbert @GordonRamsay @AlexD0rame @GodHatesMiles @BarackObama I bet Rodrick loads gregs dipper everyday
869342474560516096 2017-05-29 19:59:32 -0400 <DougBaldridge> @realDonaldTrump Never give up hope
869342471607566337 2017-05-29 19:59:31 -0400 <LlamaPolitics> @Raggirikk @RogerJStoneJr @EmmanuelMacron @ananavarro @realDonaldTrump Pretty normal for blacks in Chicongo, yes.
869342469644632065 2017-05-29 19:59:31 -0400 <santi_theresa> @realDonaldTrump @netzachchokmah1 5 Deferments..And said"Vietnam was my war to not get STD's" FUCKING PUNK  https://t.co/noSR1ueDlW
869342466675277824 2017-05-29 19:59:30 -0400 <JHSinPa> @bfhistory12 @danielle92118 @jnsanchez @realDonaldTrump she's 1 of the brainwashed
869342465031057409 2017-05-29 19:59:29 -0400 <Steveoboogie> @_rysx_ @ChrisSobolowski @realDonaldTrump Plus all the tax cuts he is trying to shove thru benefit him and his business. He left nothing!
869342462099193857 2017-05-29 19:59:29 -0400 <Cal_Azone> @ItsJustMarkNV @realDonaldTrump Granted I'm just a calzone but last I checked getting 5 deferments to avoid serving ones county seems the opposite of a "tough guy" act.
869342461960826880 2017-05-29 19:59:29 -0400 <JamesWi61543868> @JamesDubhthaigh @RVAwonk @realDonaldTrump Seth Rich
869342459830177794 2017-05-29 19:59:28 -0400 <decent_doge> @TheArmyOfKek @Sargon_of_Akkad @DaldorenGaming @OfficialSPGB @realDonaldTrump I find their balls amazing, only millions dead and it's 'Ah THIS TIME it will work'  Maybe Nazis should coin 'Not Real National Socialism'
869342459825975300 2017-05-29 19:59:28 -0400 <libsciteacher> @Unpersuaded112 @DarthBannon1 @realDonaldTrump No, he's just going to cut block grants and turn over mgt to the majority Repug Govs to "handle" - watch OK, that state's killing itself
869342454666997760 2017-05-29 19:59:27 -0400 <Suzanne1160> @realDonaldTrump trip fallout getting worse  https://t.co/6grpwS1sdq
869342442499305472 2017-05-29 19:59:24 -0400 <BigOneEagle> @surfagogo @politico @realDonaldTrump Birds of a feather do flock together  https://t.co/9UncNn0zLa
869342441148633089 2017-05-29 19:59:24 -0400 <williamfreimuth> @MagsWhelan1 @DonaldJTrumpJr @IvankaTrump @realDonaldTrump  https://t.co/CgGF3U89fN
869342440867729408 2017-05-29 19:59:24 -0400 <lmsul57> @RJSzczerba @realDonaldTrump NO SIGN OF INTELEGENT LIFE HERE
869342440171458561 2017-05-29 19:59:23 -0400 <nightraven2013> @realDonaldTrump @realjimmattis @Kimjohnun1 @NorthKoreaNews1  KIM IT'S NOT TESTING THE U.S OR SOUTH KOREA THEY'RE CLEARLY TESTING MISSILES  https://t.co/dn8GRrBQwI
869342435414990848 2017-05-29 19:59:22 -0400 <artist4ever> @lynnespock @realDonaldTrump Thank you
869342433729032193 2017-05-29 19:59:22 -0400 <Pirata13> @realDonaldTrump Maybe this is your respects... Russian Bankers Sue BuzzFeed Over Unverified Trump Dossier   https://t.co/qSPypa3yVw
869342433280221185 2017-05-29 19:59:22 -0400 <somerkat5> @realDonaldTrump #lockherup  https://t.co/P0p19aPBAD
869342431845601280 2017-05-29 19:59:22 -0400 <SabineResists> @MDTRBois @MrSulu2017 @realDonaldTrump Lame troll!  https://t.co/H3yXmccqBd
869342417052479492 2017-05-29 19:59:18 -0400 <XxTexasBreedxX> @DupuySigne @TheArmyOfKek @MReco12 @Sargon_of_Akkad @DaldorenGaming @OfficialSPGB @realDonaldTrump Is this kekophobia? Or just out right racism towards kek people. Dam oppression be real
869342416125386752 2017-05-29 19:59:18 -0400 <78Mal65> @Resistance85016 @realDonaldTrump And what do you think Hillary and Obama did???You hypocrite.
869342415835996161 2017-05-29 19:59:18 -0400 <brando5112> Hey, Pudgy McTrumpcake in case you missed it! 🔥👇🏽🔥 @realDonaldTrump  https://t.co/SshEM8TwcN
869342412715503617 2017-05-29 19:59:17 -0400 <texanerinlondon> @TerrellShaun @realDonaldTrump Shaun:  https://t.co/PM8sOdlKTo
