822956943090262021 2017-01-21 18:59:59 -0400 <elight> @_StevenNunez @realDonaldTrump A lie for every occasion.
822956942276657152 2017-01-21 18:59:59 -0400 <batsoup> Terrible ratings @realDonaldTrump sad. Pathetic. #Inauguration  https://t.co/qodA1rOdhF
822956941723004929 2017-01-21 18:59:59 -0400 <duathlete86> @realDonaldTrump pictures don't lie.... I know it's gotta hurt but you are a big boy now.... oh wait....
822956941169131520 2017-01-21 18:59:59 -0400 <Golfisme> @WhiteHouse @realDonaldTrump @POTUS next time you send Spicer out to lie feed him a few Valiums first, okay?
822956938640162817 2017-01-21 18:59:58 -0400 <RafanoMarquez> @realDonaldTrump prometio: "Voy a devolver el poder al Pueblo" demagogo promete un Imposible, prometer no Empobrece, dar es lo que aniquila.  https://t.co/GS8WsTnUVf
822956936459157505 2017-01-21 18:59:58 -0400 <fumbelsmcstupid> @Stevenwhirsch99 if one of us said that would not be in jail or have the s-service crawling all over us Fame =above the law @realDonaldTrump
822956935393800193 2017-01-21 18:59:57 -0400 <DMC0821> @quadvee @PaulSorrentino3 @ananavarro @realDonaldTrump  https://t.co/refYuaYQf6
822956934915641344 2017-01-21 18:59:57 -0400 <lyricspy> Hey you,Whitehouse Ha ha! Charade, you are You house proud town mouse Ha ha! Charade, you are @realDonaldTrump  #notmypresident  #pinkfloyd
822956934273925120 2017-01-21 18:59:57 -0400 <JPNYC1> @smerconish @MalcolmNance @realDonaldTrump @CIA @CNN @cnni that shows trump don't know how to running a country #abilliondollarsinoneyear
822956934236016641 2017-01-21 18:59:57 -0400 <AriIsmo> @realDonaldTrump #breakingthelaw on day 1 - all presidential communications must be preserved but you erased the previous tweet version
822956933686530048 2017-01-21 18:59:57 -0400 <PappahoopsOlson> @realDonaldTrump Lets get behind our leaders and ask them to unite into the immovable unshakable Unites States where together we will win!
822956933422272512 2017-01-21 18:59:57 -0400 <Bienihieke> @realDonaldTrump RT @danpfeiffer: Odd speech from a guy who got rich selling products made in China and ...  https://t.co/eoNxD4cONL
822956930167517184 2017-01-21 18:59:56 -0400 <amorYvida62> @Z1043 @b140tweet @realDonaldTrump @ShaunKing @KeithOlbermann @billmaher
822956929848778752 2017-01-21 18:59:56 -0400 <buddyolepal> @realDonaldTrump Once again, American has a CLASSY First LADY
822956928779321344 2017-01-21 18:59:56 -0400 <stopgovcorrupt> @realDonaldTrump dont worry MOST OF AMERICANS R NOT goin 2 b pushed around by lying media n leftist HYPOCRITES - bunch of brainwashed IDIOTS
822956926690590724 2017-01-21 18:59:55 -0400 <thejossgroup> @tedlieu @summerbrennan @realDonaldTrump @voxdotcom  https://t.co/YVqMMbQQaW
822956924480225280 2017-01-21 18:59:55 -0400 <abbebuck> .@WhiteHouse .@realDonaldTrump .@POTUS Dear Mr. President, IT CAN BE DONE. Remember the soldier, disabled woman, gay man, the artist, too.
822956924442472449 2017-01-21 18:59:55 -0400 <MGeiler> @realdonaldtrump @seanspicer - You are LIARS and the whole world knows it!
822956923788136449 2017-01-21 18:59:55 -0400 <bret_norrod> @RichardBSpencer @realDonaldTrump wouldn't waste any energy on them, they won't be around long, you, however, will be
822956922185781248 2017-01-21 18:59:54 -0400 <MaryMeliz99> @WhiteHouse @realDonaldTrump @POTUS  Are you going to protect the American citizens  Are you going to protect social security,Medicare
822956920969588737 2017-01-21 18:59:54 -0400 <JulianJabbar> @seanoconnz so you've been on @realDonaldTrump's @Grindr profile too?
822956919598043137 2017-01-21 18:59:54 -0400 <FarRockLori> @NYDailyNews @realDonaldTrump  who you trying to convince?
822956919413411841 2017-01-21 18:59:54 -0400 <GeorgeEBonham> @realDonaldTrump Congatulations !  President Trump. I want to say that women that abort babies are MURDERES !!  and should be punished ! . *  https://t.co/tuprq6K5sT
822956916171304960 2017-01-21 18:59:53 -0400 <valleylily56> @smerconish @TomBarrackJr @realDonaldTrump @CNN @cnni can't. he has broken trust already. only getting worse.
822956913948327936 2017-01-21 18:59:52 -0400 <CharlieMongo> @offshoreicon @IAmOroro @JordanUhl @realDonaldTrump @FoxNews these people are so funny! We need more of them in the USA!
822956913772130304 2017-01-21 18:59:52 -0400 <fzar0405> @Pajaropolitico @realDonaldTrump solo superados por los políticos
822956913625366529 2017-01-21 18:59:52 -0400 <micsav86> @realDonaldTrump @seanspicer    Your #WRONG #WomensMarch/ Obama inauguration was bigger than Trump inaugurations #Period  https://t.co/eNBg70CRA4
822956912199208960 2017-01-21 18:59:52 -0400 <MarkSouza9> @WhiteHouse @realDonaldTrump @POTUS I Wish You Can Arrest Maddona For Saying She Would Like To Blow Up The White House🚂🚂🚂🇱🇷🇱🇷🇱🇷
822956912010350592 2017-01-21 18:59:52 -0400 <DeborahYoungren> @WhiteHouse @realDonaldTrump @POTUS you are MAGA🐘🐘🐘💝!!
