1050898910082985989 2018-10-12 19:59:59 -0400 <BestPrezEver73> @WhiteHouse @realDonaldTrump  https://t.co/V0aBXRNG9F
1050898906912051200 2018-10-12 19:59:58 -0400 <WHRising2> @JacobAWohl @realDonaldTrump @WhiteHouse She’s a confused old hag 🙄
1050898900981358592 2018-10-12 19:59:57 -0400 <lemonade4us3> @ABC @realDonaldTrump And possibly she’s trying to tell us she knows he’s insane. Like a hostage trying to signal for help.
1050898897390964736 2018-10-12 19:59:56 -0400 <TeedIsMe> @dwhtxyahoocom1 @StarS_N_SaSS @kar_bear77 @SU2CandMe @isis_ghost @MakeNEGrrAgain @EarlSinclair2 @David_MagaUSA @cgpb @pattykake44 @freedmeto @Ohio_Buckeye_US @KalahD @GigiBird78 @Abby19Storm23 @JacksFlatTop @JSpragens @MirandaSalcido1 @AngieWrightDani @Jcdine1 @Bel_bo @Lizbeth_peach @BlueSea1964 @baalter @t2gunner @thro_e @Fuctupmind @lenlucas46 @PoliticalShort @DaZipstahh @SkittishPix @Briteeye777 @KellsBellsSC @dybarb @LindaKing913 @Darlingdenise6 @anne19brown @girlforce41 @1961sarahw @traderjohnt1 @numskull210 @Loray_12 @bobbio_roxana @HeyHeyitsPolTey @bmorge2 @SFPoppins @donna_roten @GregoryMcMicha2 @realDonaldTrump @clintonhill889 They do it all the time
1050898895050600448 2018-10-12 19:59:55 -0400 <Toreilly62> @DearAuntCrabby @realDonaldTrump Uh no. Just no.
1050898893322510336 2018-10-12 19:59:55 -0400 <rljrvip> @Breaking911 It's @realDonaldTrump s fault!
1050898893251244032 2018-10-12 19:59:55 -0400 <nangavin> @realDonaldTrump Smagma
1050898890399068160 2018-10-12 19:59:54 -0400 <BUDRATZ> @SchoolingLibs @J05478844 @NotOnMyWatch45 @realDonaldTrump @WhiteHouse Just like Trump, you are inventing statistics.
1050898888637345792 2018-10-12 19:59:54 -0400 <DsOchoa> @realDonaldTrump is devoid of empathy or any true humanity! He is a Human Rights Violator!
1050898887387410433 2018-10-12 19:59:54 -0400 <alienjazzcat> @funder @realDonaldTrump The coming war between Pelosi and Trump will be fascinating to watch
1050898885768609794 2018-10-12 19:59:53 -0400 <bethz77> @realDonaldTrump Next Week? Really?  https://t.co/oorXGKPdpg
1050898883461742592 2018-10-12 19:59:53 -0400 <ConservetiveOne> Why does Valerie Jarrett have FIVE Secret Service Agents protecting her 24/7? .@realDonaldTrump @POTUS
1050898883142975488 2018-10-12 19:59:53 -0400 <Barbara12689822> @WyattEarpLA @realDonaldTrump You Love Beer?
1050898880894767105 2018-10-12 19:59:52 -0400 <WendyLouWhoIam> @realDonaldTrump You are kwazy man. No one wants Ivanka for anything but to go away
1050898879972020224 2018-10-12 19:59:52 -0400 <mulegirl0722> @realDonaldTrump  https://t.co/7M5x2aSzqm
1050898878973673474 2018-10-12 19:59:52 -0400 <NancyRHM> @realTrumpClone @realDonaldTrump He understands nothing about how the insurance market works, and has no interest in learning. He couldn't care less if people are covered or not. He only cares about destroying Obama's legacy.
1050898878743105536 2018-10-12 19:59:52 -0400 <QTheDarkKnight> @realDonaldTrump Hate to help alot of hypocritical democratic politicians but have to prove a point to .....for a couple of years.
1050898878025879553 2018-10-12 19:59:51 -0400 <TerriJanover> @buzzman888 @lvlvlrd707 @GOP @realDonaldTrump Terrorists making more threats. Need to be locked up!
1050898872799817728 2018-10-12 19:59:50 -0400 <Balcony_Seats> @funder @realDonaldTrump  https://t.co/9zneTFD15Z
1050898867791650816 2018-10-12 19:59:49 -0400 <microveldt> This statement should disqualify @realDonaldTrump from the presidency. PS, where ya tax returns at?
1050898864918724608 2018-10-12 19:59:48 -0400 <BossLedZepLuvr> @Ptrck69 @EricTrump @realDonaldTrump Doubt that!😂😂😂😂😂🌊🌊🤪🌊🌊
1050898863387754498 2018-10-12 19:59:48 -0400 <cmcgreevy5> @realDonaldTrump It may not be in your best interest to push more people to register to vote.... Just a heads up for 2020
1050898862439837699 2018-10-12 19:59:48 -0400 <Melynn309> @realDonaldTrump Building the wall has not started, it’s not happening, it’s not moving and, other than the prototypes you ridiculously spent taxpayer money on, there is no progress. #TrumpLies
1050898862062411776 2018-10-12 19:59:48 -0400 <HrhOrchid> @DivintyMary @12253102 @realDonaldTrump @JudicialWatch @politico Yep, spewing facts!  Those pesky word, “AT HER REQUEST”  https://t.co/xBv8MqEtfP
1050898855842209792 2018-10-12 19:59:46 -0400 <PedroBe99382244> @JacobAWohl @realDonaldTrump @WhiteHouse You must really believe in your statements...  https://t.co/QsvY6aTDOA
1050898852507779073 2018-10-12 19:59:45 -0400 <SkahtDobbins> @THCobbPHC @Afgrahamistan @nancym284 @joshrogin @realDonaldTrump Here we go again!  @HardballChris on @MSNBC showing footage from today’s @realDonaldTrump rally. Footage that will fire up his base and is of no national importance. When they broadcast something in order to pretend to be appalled at it, it is fake news.
1050898849382961152 2018-10-12 19:59:45 -0400 <Quindel1plex> @buzzman888 @S_Cooper0404 @GOP @realDonaldTrump I wonder where the Antifa headquarters are?
1050898846434414592 2018-10-12 19:59:44 -0400 <Come_Oon_Man> @krassenstein @protesting2016 @realDonaldTrump Srsly. 🙄
1050898836556779520 2018-10-12 19:59:42 -0400 <jintaoren1> @grassrootsyaya @realDonaldTrump It may be worse!
1050898830156357632 2018-10-12 19:59:40 -0400 <Llove2chat> @olgaNYC1211 @chloebovay @realDonaldTrump @GOP @senatemajldr @SpeakerRyan That has been the history of US - Saudi Arabia relationship. US has been willing to overlook "controversial" aspects of the kingdom as long as it keeps oil flowing and they keep supporting US national security policies.
1050898829376028674 2018-10-12 19:59:40 -0400 <stacy_redvirgo> @Thebee68 @DanCovfefe1 @RoseDC11 @wretchedman777 @pinkk9lover @ArizonaKayte @hidehunt1 @realDonaldTrump @poconomtn @HeatherNotABot @My2CentsGritXO @carrieksada @ROCKONOHIO @Fuctupmind @LaunaSallai @JanjoinedNRA @GemMar333 @Goz_1911 @1776HotLips @KatTheHammer1 @writemombritt T shirts🙄
1050898827849359361 2018-10-12 19:59:39 -0400 <gregoryjtancer> @realDonaldTrump @dbongino  Trump, you are the best!  My whole life I never see a President go in and negotiate release of prisoners or hostages the way you are able.  You’ve taught me so much in business about how to achieve these wins!  You are awesome!
1050898821415362561 2018-10-12 19:59:38 -0400 <citizensfornh> @NHGOP @NHMollyKelly @realDonaldTrump This is what liberals have become. They're animals. #Crumbs 🇺🇸🇺🇸🇺🇸
