1204188977957355520 2019-12-09 18:59:59 -0400 <iskingsb> @DeAngelisCorey @realDonaldTrump I’ll take it over nothing 🤷‍♂️
1204188976053022720 2019-12-09 18:59:59 -0400 <TreyBest6> @JohnBrennan @realDonaldTrump Just wait for Durham...
1204188974056693761 2019-12-09 18:59:58 -0400 <ExploreWander> @pastorlocke @realDonaldTrump Pastor? What a F’ing joke?
1204188970998910976 2019-12-09 18:59:58 -0400 <Jim21572663> @RepMarkMeadows @realDonaldTrump  https://t.co/gkJ6dj7dWa Sondland
1204188970697023489 2019-12-09 18:59:58 -0400 <JaymzeC> @Tracy143DC @imcamodl81 @NanciBou @merlin195029 @JennaEllisEsq @realDonaldTrump It was released 2 days after the investigation was opened. Thats a little suspect.
1204188969589596162 2019-12-09 18:59:57 -0400 <coolivankatrump> @GOPChairwoman @realDonaldTrump  https://t.co/5sOtzKxI15
1204188967148695552 2019-12-09 18:59:57 -0400 <JoyceBruns> #PresidentialHarassment of @realDonaldTrump began from Day #1, Inauguration Day. Unconscionable.
1204188966246764544 2019-12-09 18:59:56 -0400 <JoeBloww13> @HHMU_Banksia @realDonaldTrump @mikecoulson48 @WoodwarddianneJ @2018Tsalagi @lynnpotter11 @blackbear_lori @Zoompad @RandolphTrent Signs of the times!
1204188963692564480 2019-12-09 18:59:56 -0400 <motivatehumble> @iTweetyNerd @realDonaldTrump I think I saw 40% or less of the population has a 401k and or any sort of investment. We really need to stop looking at Wall Street as the indicator.
1204188963617017857 2019-12-09 18:59:56 -0400 <AlbertGrimenst1> @JohnBrennan @realDonaldTrump SCUMBAG
1204188961112911873 2019-12-09 18:59:55 -0400 <SpikeMikeSD> @JohnBrennan @realDonaldTrump You drama queen  https://t.co/4n5TbgDdlv
1204188957422030848 2019-12-09 18:59:54 -0400 <MnMarches> @TheJWQ @AndreaPunksmom @juggstorecowboy @AllOnMedicare @Lis_Smith @PeteButtigieg @realDonaldTrump @BCBSM Nah...I don't believe that.
1204188957359165440 2019-12-09 18:59:54 -0400 <LeistHarry> @Dist_5 @GOPChairwoman @realDonaldTrump Waiting for a fair constitutional hearing. Not a corrupt nazi style unconstitutional democrat hearing.
1204188955735969798 2019-12-09 18:59:54 -0400 <Besttrolleva> @drprops @9hughesC @pubhousepure @JohnBrennan @realDonaldTrump Might wanna read up on that app.
1204188954091765761 2019-12-09 18:59:54 -0400 <loves3corgis> @RepMullin @HouseGOP @realDonaldTrump Are you high?!?!? She was the only thing standing between him and impeachment!!!
1204188953798205440 2019-12-09 18:59:53 -0400 <Natlia71526127> @DanScavino @realDonaldTrump Really??? Nunes??? That is you defence!!!! @DevinCow  https://t.co/JkSmxOXcPz
1204188953332482048 2019-12-09 18:59:53 -0400 <NotAChaunce> @realDonaldTrump The impairment from the stroke must really be setting in now as he’s only able to muster single sentence tweets at this point. #Trump
1204188952791527435 2019-12-09 18:59:53 -0400 <Kuehner20> @GOPLeader @realDonaldTrump Oh, Kevin.
1204188952086765568 2019-12-09 18:59:53 -0400 <RyMacX> @SteveScalise @realDonaldTrump Lol does it? Please show sources
