1078802776971464704 2018-12-28 18:59:59 -0400 <JSalvatore1278> @realDonaldTrump #MAGA #BuildtheWall #SchumerShutdown #SchumerPelosiShutdown
1078802775838867456 2018-12-28 18:59:59 -0400 <MsSherryP> @Infantry0300 @Drewdferguson @realDonaldTrump I hope this is actually true. Sadly, my Trump supporting family members, etc., are towing the party line, standing by their man
1078802771955118080 2018-12-28 18:59:58 -0400 <jedistocky> @realDonaldTrump You said Mexico would pay for it.
1078802771933949952 2018-12-28 18:59:58 -0400 <politicalmablog> @realDonaldTrump Hey where's that first caravan? 🤷🏽‍♀️
1078802770227019781 2018-12-28 18:59:58 -0400 <trustnbtc> @RaifeHollister @JorgeWCVB @realDonaldTrump But I get what you’re saying as well.
1078802769258123264 2018-12-28 18:59:58 -0400 <laureenrobinso1> @csanz @DonaldJTrumpJr @realDonaldTrump He’s the same just younger. Who else will play back that his views on some things haven’t changed?
1078802766108205056 2018-12-28 18:59:57 -0400 <newsjunkiemary> @kenolin1 @realDonaldTrump  https://t.co/acjiTsbDeI
1078802765478907904 2018-12-28 18:59:57 -0400 <Prazzo84> @realDonaldTrump Nope nope nope
1078802764434673666 2018-12-28 18:59:56 -0400 <Clthames5> @mrobertsveras @realDonaldTrump Plus, they are our neighbor &amp; ally. A real potus would work with them to address the root cause of mass migration from Central America instead of contributing to the crisis.  Does no one in DC know how to govern? This is just ridiculous.
1078802764119982080 2018-12-28 18:59:56 -0400 <Angie48598331> @richcarefree @realDonaldTrump Also Diane Feinstein’s husband got the contracts to sell the federal unused property!
1078802761091821570 2018-12-28 18:59:56 -0400 <already27> @realDonaldTrump @foxandfriends So about this 10% raise? When are you going to be delivering on this promise?  https://t.co/bHH6z3pCED
1078802759850311680 2018-12-28 18:59:55 -0400 <WandaKA66182301> @AlreadygreatUSA @surciuoli60 @AP_Hallmark @tonyposnanski @LindseyGrahamSC @realDonaldTrump I never listen to faux news! I've never been called a racist in my life. What are you talking about?
1078802759590109189 2018-12-28 18:59:55 -0400 <specialkidz4> @MagniFieri @realDonaldTrump @foxandfriends  https://t.co/5KLfA9kn39 PLEASE LISTEN
1078802759510646785 2018-12-28 18:59:55 -0400 <aarivdaniel> @csanna3 @realDonaldTrump We are not blind!
1078802758638145536 2018-12-28 18:59:55 -0400 <gwen_soileau> @realDonaldTrump Hold Steady Mr. President. Please Keep D. C. Shut Down.
