1029155636917891072 2018-08-13 19:59:59 -0400 <surfspies> @WhiteHouse @realDonaldTrump John McCain?
1029155636485996544 2018-08-13 19:59:59 -0400 <Tsyf3J> @realDonaldTrump you so funny,,,,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
1029155635399680002 2018-08-13 19:59:58 -0400 <oscarmom355> @TSearcaigh @realDonaldTrump Great.  Now I have to turn in my Mensa card.
1029155633801691136 2018-08-13 19:59:58 -0400 <Joeb729Burgo> @realDonaldTrump You love the military so much &amp; yet U r a cowardly draft dodger
1029155629120679936 2018-08-13 19:59:57 -0400 <kim_meller> @realDonaldTrump I DON"T CARE DO YOU!!!!!!  #UnfitForOffice
1029155626587287553 2018-08-13 19:59:56 -0400 <coyote4949> @HectorG47414058 @DiamondandSilk @realDonaldTrump @POTUS He pays Diamond and Silk.
1029155625886994432 2018-08-13 19:59:56 -0400 <LKenesto> @realDonaldTrump Donald Trump
1029155622216970241 2018-08-13 19:59:55 -0400 <dastar11242> @The_Trump_Train @realDonaldTrump Yes please, make the WH honest again....#ImpeachTrumpAndPenceNow
1029155620283473921 2018-08-13 19:59:55 -0400 <JWSNMNJ> @spitterati @realDonaldTrump This will be funny.   I can't wait to see how Mueller prosecutes a company that didn't exist at the time he charged them.
1029155618219732992 2018-08-13 19:59:54 -0400 <PinarTremblay> If anything US gave Erdogan the benefit of doubt way too many times, so much so that TR now assumes renagging on your promises is ok (no cost) and the US need not be taken seriously. Hence @VP and @realDonaldTrump may be the 1st admin to get Turkey right finally.
1029155615958953985 2018-08-13 19:59:54 -0400 <pberken803> @PressSec @drum10thmtn More of the @realDonaldTrump administration getting shit they didn't earn nor deserve. All we watch them do is take, take, take.
1029155614814072833 2018-08-13 19:59:54 -0400 <Powerful66> @realGeoffHollnd @pandyhair @FuckTrump61 @realDonaldTrump Beautifully said.
1029155614537252865 2018-08-13 19:59:53 -0400 <TKinMB> @DearAuntCrabby @realDonaldTrump Can’t look at this
1029155613081784320 2018-08-13 19:59:53 -0400 <ThomasA84745226> @realDonaldTrump Good for the USA 🇺🇸Sir Thanks 🙏 a lot Be Blessed
1029155605821308929 2018-08-13 19:59:51 -0400 <SheriSannes> @realDonaldTrump It's too bad that YOU are not an honorable man!  If you were, you would have paid tribute to the war hero that the bill was named after. #JohnMcCain #FakePresident  #PutinsPuppet  #Traitor
1029155604416221185 2018-08-13 19:59:51 -0400 <dolores33451083> What Was Destroyed in Clinton House-Fire?  https://t.co/4hhBTeagku via @YouTube #retweet @Summitrealtygrp @realDonaldTrump @RealJamesWoods @turboqwerty @DeepStateExpose @RepDeSantis @DemsNuts @paulsperry_ @charliekirk11 @seanhannity @DineshDSouza  @MarkDice
1029155603443265541 2018-08-13 19:59:51 -0400 <DENNISN77166941> @realDonaldTrump Public servants are not private employees. They work for us, not you. The government is not your private business, nor your private property.  Your arbitrary non-disclosure agreements are meaningless.
1029155602742829056 2018-08-13 19:59:51 -0400 <roti4so> @mitchellreports @realDonaldTrump @SenJohnMcCain All the above
1029155601480208384 2018-08-13 19:59:50 -0400 <Seamus_Kilroy> @realDonaldTrump define president
1029155601216143360 2018-08-13 19:59:50 -0400 <SharonSimcic> @Carolde @DallasFaninIL @realDonaldTrump @ClubSpeaks @RealJamesWoods @grammy620 @DonnaMartinNeth @KLSouth @CarmineZozzora @EricTrump @ericbolling Is this a preview of a horror movie?  LOL
1029155600343552000 2018-08-13 19:59:50 -0400 <Koolimix> @realDonaldTrump You are too petty to mention John McCain.  So jealous.
1029155599961841664 2018-08-13 19:59:50 -0400 <JoeMcd27> @realDonaldTrump Stop. You’re going to ruin his chances.
1029155597810364416 2018-08-13 19:59:49 -0400 <Kegan545> @DailyCaller @realDonaldTrump Just investigating??!If ya know who they are,take them in!
