1173748397834031104 2019-09-16 19:59:59 -0400 <Jasnan19> @realDonaldTrump You are so friggin juvenile.
1173748395875426308 2019-09-16 19:59:59 -0400 <Toastforthemost> @Roscoe_Notrub @leeap52 @therealRLW @julieachild @Brand_Allen @realDonaldTrump @CabPolitical lol, scared of what man?
1173748395497967616 2019-09-16 19:59:59 -0400 <rgilbert66> @RookTakesKing @Paul_VanDerMeer @realDonaldTrump What is wrong with you people?  The initial weather reports showed the storm quite possibly tracking right through Alabama. I personally watched these forecasts. Why do you keep pushing this topic?
1173748392054280193 2019-09-16 19:59:58 -0400 <joey_speranzi> @realDonaldTrump @StarCenter Good luck with your ego boosting hate rally.
1173748391756652544 2019-09-16 19:59:58 -0400 <debbyjsing> @AlbertPaul13 @realDonaldTrump I didn't whine.
1173748390506696706 2019-09-16 19:59:58 -0400 <theblueroute14> @realDonaldTrump Funny....I said the SAME THING about the White House...
1173748389722431488 2019-09-16 19:59:57 -0400 <SpangledCyborg> @Couglore @TomFitton @realDonaldTrump @foxandfriends @nytimes He was willing to put Americans' safety at risk because he couldn't handle his tweet about the hurricane being corrected.
1173748389575581696 2019-09-16 19:59:57 -0400 <mtgualazzi> @JohnBrennan @llmich @realDonaldTrump There’s only one American political party left, and it ain’t trumps.
1173748389189566464 2019-09-16 19:59:57 -0400 <_BigD1966_> @TulsiGabbard @realDonaldTrump us taking the lead will cost more lives.
1173748388266856448 2019-09-16 19:59:57 -0400 <rossow_mark> @JoJoFromJerz @BrianKarem @realDonaldTrump  https://t.co/2W8EYtpUZ7
1173748387688136704 2019-09-16 19:59:57 -0400 <jimi2124> @realDonaldTrump  https://t.co/YzRIUkJF8I
1173748387491057666 2019-09-16 19:59:57 -0400 <SamCFarmer4> @realDonaldTrump The New York Times covers all the news that is fit to print. I am sorry you object to the stories that do not fit your very narrow views.
1173748386715058176 2019-09-16 19:59:57 -0400 <traitortrumpsux> @MerrillLynched @realDonaldTrump @StarCenter Things tend to shrink when you are not excited..... just sayin’
1173748386190618624 2019-09-16 19:59:57 -0400 <noirdude> @MichaelDadiego @smalltownandrew @SpeakerPelosi @realDonaldTrump @USSupremeCourt I suggest they are not insane, but evil. #theleftisalie
1173748384177512448 2019-09-16 19:59:56 -0400 <KimberlyPitzen> @realDonaldTrump @StarCenter Another hate rally
1173748383829438464 2019-09-16 19:59:56 -0400 <JoeRomano95> @realDonaldTrump Donald Trump did not write this tweet.
1173748382235598848 2019-09-16 19:59:56 -0400 <itsdonehesgone> @FLOTUS @realDonaldTrump @WhiteHouse You didn’t write this.
