962476272608722944 2018-02-10 18:59:59 -0400 <bcash613> @MysteriousLucid @realDonaldTrump   https://t.co/3QvxVDPMbA
962476269299527680 2018-02-10 18:59:59 -0400 <muellertime2> @realDonaldTrump Do like Nixon and resign
962476268959752193 2018-02-10 18:59:59 -0400 <MattBialer> @DonnaWR8 @realDonaldTrump Yeah.  Right.  Who told you, Breitbart?  The National Enquirer?  And -oh yeah- Obama was born in Africa and is a radical Muslim.  Ha ha ha!  #TrumpRussia #DonTheCon #ReleaseTheMemo #TreasonousTrump #PutinsPuppet #PussyGrabberInChief #ReleaseTheDemMemo  #TrumpCrimeFamily
962476268024467456 2018-02-10 18:59:58 -0400 <pszczepanski> @realDonaldTrump #WhatsTrumpHiding #ReleaseTheDemMemo #TrumpRussia #TheResistance  https://t.co/eUg8nLbZwA
962476267646914560 2018-02-10 18:59:58 -0400 <WillySonbol> @realDonaldTrump Know your history. Seriously, just try atleast to know what your talking about. Quit relying on the stupidity of your base to make baseless arguments.
962476267386888193 2018-02-10 18:59:58 -0400 <changethingsman> @realDonaldTrump Trump must be getting really nervous continues his tweets to deflect on others. If he wasn't really nervous he would just stay quiet.
962476265667219456 2018-02-10 18:59:58 -0400 <NicoleKenza> @realDonaldTrump We have a loser in the WH who would love to be a dictator and not have to deal with  institutions that uphold the law. #ImpeachTrump #25thAmendmentNow
962476264492642304 2018-02-10 18:59:58 -0400 <Winstonchurchil> @geoff_deweaver @realDonaldTrump Fake news dear.
962476263150706689 2018-02-10 18:59:57 -0400 <LINYIsles> @realDonaldTrump   https://t.co/TkRDkoWJxy
962476262546661376 2018-02-10 18:59:57 -0400 <waite_penny> @BenPearceDJ @realDonaldTrump That’s a perfect name!
962476262525685762 2018-02-10 18:59:57 -0400 <gsid143> @realDonaldTrump Why do you need Dem votes, O Omnipotent One? The GOP owns all three branches. Quit whining!!!! It’s getting old.
962476261267341312 2018-02-10 18:59:57 -0400 <vdcvc> @realDonaldTrump Yes Sir!!!
962476259824484353 2018-02-10 18:59:56 -0400 <TrumpDefekts> @tribelaw @realDonaldTrump I smell some quid pro quo rats. Wal-Mart gained billions nearly trillions from the #TaxScam. #RachelBrand offered a job she "couldnt refuse"
962476259468029952 2018-02-10 18:59:56 -0400 <trumpxhaustion> @realDonaldTrump Pot calling kettle
962476258197204992 2018-02-10 18:59:56 -0400 <RBGPatronus> .@aravosis no way .@realDonaldTrump  wrote this. No all caps words. Proper sentence structure &amp; grammar.
962476256427151360 2018-02-10 18:59:56 -0400 <CynthiaAnn47> @realDonaldTrump "A mere allegation"? You truly are a #despicable #Deplorable poor excuse of a person.
