1209624795131727880 2019-12-24 18:59:59 -0400 <TheRealTeddyBee> @realDonaldTrump @senatemajldr FU and F Mc🐢 #IMPOTUS
1209624794515361792 2019-12-24 18:59:59 -0400 <BarronSnanny> @dogsndesign @gasmith461 @AndyOstroy @realDonaldTrump You are willfully ignorant, and proud of it....congratulations
1209624793915506688 2019-12-24 18:59:59 -0400 <gwm1959> @realDonaldTrump @senatemajldr Including unqualified judges that owe their appts to you. None of these should ever rule on any of your cases.
1209624793420648449 2019-12-24 18:59:59 -0400 <Kris70829954> @realDonaldTrump @POTUS It’s Christmas. Take the days off from tweeting. Remember what the day is about, if you can.
1209624793277980674 2019-12-24 18:59:59 -0400 <meelcolmplayz> @realDonaldTrump Ok boomer
1209624790740480001 2019-12-24 18:59:58 -0400 <hyko_r> @realDonaldTrump @POTUS Merry Christmas a little bit.
1209624782657863680 2019-12-24 18:59:56 -0400 <JamesChillLax> @SirStephenH @barbaracarlsbad @eugenegu @realDonaldTrump The GOP did request witnesses and was Denied in the House.
1209624779692609541 2019-12-24 18:59:55 -0400 <PicklesLuvsAll> @RudyGiuliani @realDonaldTrump Is your zipper still down?
1209624779029807105 2019-12-24 18:59:55 -0400 <A_M_F_45> @realDonaldTrump So, if a record high drops by 35 points &amp; the next day it goes up 36 points: TRUMP SETS YET ANOTHER RECORD HIGH IN THE STOCK MARKET!!!"  BTW - these records began to be set in March 2013.
1209624777364844544 2019-12-24 18:59:55 -0400 <BKE1964> @realDonaldTrump @senatemajldr Keeping America Great for years to come. Thanks 45
1209624777335410688 2019-12-24 18:59:55 -0400 <Labrock2500> @realDonaldTrump @AlanDersh We are victims we got Trumped by the Russians and ended up with total dueche bag....
1209624772969140224 2019-12-24 18:59:54 -0400 <SipleLeslie> @DonovanWrites @StrategyUSA @SaveAslave @realDonaldTrump Seriously, do you know the definition of a Nazi or do you just repeat this stuff because it's easier than educating yourself...or you're just a troll looking to get a rise by throwing bait...either way you're a pawn
1209624772226629633 2019-12-24 18:59:54 -0400 <ib4014> @realDonaldTrump @senatemajldr Ugh its worse than I thought
1209624769626361856 2019-12-24 18:59:53 -0400 <AmandaLJennings> Merry Christmas, @realDonaldTrump!  https://t.co/z9hTAsp3CQ
1209624769227829249 2019-12-24 18:59:53 -0400 <TImmyBlack9> @Dark4eyes @tallgirlL @11B_johnny @jsiver1 @dvillella @realDonaldTrump When Hillary was expected to win via the electoral college u were happy to tell Trump supporters to “get over it. That’s how it works”. Now it’s hurting America. Laughable
1209624768942465025 2019-12-24 18:59:53 -0400 <espressodoppio6> @realDonaldTrump @senatemajldr Too bad so many of them are not qualified!
1209624767076225025 2019-12-24 18:59:52 -0400 <77_cruiser> @GeorgeTakei We must admit Obama did do you one good deed. He helped us get one awesome president in @realDonaldTrump . Other then that I don't miss one thing about him. #WorstPresidentEver
1209624766220554242 2019-12-24 18:59:52 -0400 <FinCoe> @CarlaBurlando @Lataine16 @michaelbeatty3 @jofortrump @realDonaldTrump What a burn on Conservatives.
1209624760222502912 2019-12-24 18:59:51 -0400 <Democrap3> @TomFitton @realDonaldTrump It's about time. Lock him up.
1209624758016303104 2019-12-24 18:59:50 -0400 <DanielaDea3> @M_A_G_A_45 @LindaSuhler @realDonaldTrump @senatemajldr Yes, or 16...😉🇺🇸
1209624757160816647 2019-12-24 18:59:50 -0400 <KennyTweetUSA> @realDonaldTrump Can someone explain to me how the federal government can make it law to raise the smoking age to 21 but we can’t make it law that your required to vote with a voter photo ID card???? Insane???? @GOP @GOPLeader @senatemajldr
1209624752228311040 2019-12-24 18:59:49 -0400 <jpwilloughby> All joking aside, there IS more of a freedom to celebrate Christmas in society today. Random people feel OK wishing you a Merry Christmas and even talking about the true meaning of the holiday. Thank you @realDonaldTrump!
1209624749757722624 2019-12-24 18:59:48 -0400 <Nalajama1> @realDonaldTrump Nice, now stop Chinese immigration and Chinese birth tourism in the USA.
1209624748742725632 2019-12-24 18:59:48 -0400 <LFS_87> @bet365_aus Overrated. As we’ve seen over the last couple of weeks of BBL and the tests, @OptusStadium has the best deck in the country.  Am I right @realDonaldTrump @DwayneRussellM
1209624748184887297 2019-12-24 18:59:48 -0400 <yoyoyodatweets> @realDonaldTrump JESUS [TRUMP] IS LORD, AMMA  RIGHT?!  #HELLELUJAH
1209624746616410113 2019-12-24 18:59:47 -0400 <WeAreTheChang18> @GOP @realDonaldTrump  https://t.co/uAEXw8ssvW
1209624745832042496 2019-12-24 18:59:47 -0400 <cheriemaureen> @realDonaldTrump  https://t.co/ocSGOd4t3w
1209624744347230208 2019-12-24 18:59:47 -0400 <EmmaCTZen1> @realDonaldTrump @senatemajldr And you're still impeached.  https://t.co/pD1yy5ALqi
1209624739356000257 2019-12-24 18:59:46 -0400 <macelliget> Marble Mouth @realDonaldTrump
1209624720259321857 2019-12-24 18:59:41 -0400 <21stParallel> @thinkingman @AlvedaCKing @KimmieVIP @realDonaldTrump Mueller spent $40MM and two years hoping to find evidence of Trump collusion with Russia and found nothing but FBI corruption.  Since you live in your mother’s basement and get your news from Mother Jones, you wouldn’t know that.
1209624718871080960 2019-12-24 18:59:41 -0400 <TheViking2017> @realDonaldTrump Trump is a slug....🐌
1209624717520449536 2019-12-24 18:59:41 -0400 <swon26> @realDonaldTrump @SpeakerPelosi ...Suddenly Lapdogs @senatemajldr @GOPLeader @VP @LindseyGrahamSC @RandPaul and all Republicans don't care about deficit because you making them PERSONALLY richer. USMCA is almost the SAME as NAFTA with few changes! FACT! Nancy made sure that hard working Americans will be...
1209624711673634816 2019-12-24 18:59:39 -0400 <MarkMobile68> @MasterBierman @realDonaldTrump @FLOTUS Who was stopping you before?
1209624709807116291 2019-12-24 18:59:39 -0400 <jbwolf1960> @realDonaldTrump trump the chump is #Boohoobaby
1209624707638665216 2019-12-24 18:59:38 -0400 <patricks11> @NumbersMuncher @realDonaldTrump Fear of detention? What? Who told you you couldn’t say Merry Christmas?
1209624706573307909 2019-12-24 18:59:38 -0400 <DougDeVita> @realDonaldTrump Clutching at shredded paper straws, Donnie. CLUTCH. ING.
1209624702622322695 2019-12-24 18:59:37 -0400 <ajaxonford> @parscale @realDonaldTrump You people just can’t help yourselves, can you?
1209624702215475201 2019-12-24 18:59:37 -0400 <HomeworkAteDog> @bllyrush @Dirtyharry2tak1 @gerrybuddy @kooklabeej @T_S_P_O_O_K_Y @FBI @CIA @realDonaldTrump @Comey @JohnBrennan Here’s your logic:  I know a crime was committed  The IG report (which is completed), you claim, has evidence of the crime  You claim Horowitz testified it was illegal    But that’s not enough to indict or bring charges right now   Did I miss anything?
1209624699707240449 2019-12-24 18:59:36 -0400 <LyleRugby> @Tamehnter @realDonaldTrump I keep expecting a snake tongue to shoot out the slit.
1209624698700673025 2019-12-24 18:59:36 -0400 <gemma_storm> OMG! Trump just trying to impress his weird Evangelical base! He has no empathy, no morals, no scruples! What an idiot! @realDonaldTrump Folks we can see right through this charade!
1209624698457411584 2019-12-24 18:59:36 -0400 <ondrejsmida> @BakerShayanne @KvvKwiatkowski @realDonaldTrump @senatemajldr I could maybe understand support. But to say he is the best president... that's delusional
1209624695030595584 2019-12-24 18:59:35 -0400 <blair_wyman> @realDonaldTrump @senatemajldr The race is on, to fill as many judgeships as possible, with shamefully unqualified Stepford shylocks.
1209624693881417730 2019-12-24 18:59:35 -0400 <Soulhunter59> @Cordicon @RudyGiuliani @realDonaldTrump War does not make one great.
1209624693726007298 2019-12-24 18:59:35 -0400 <seattle_morning> @realDonaldTrump @senatemajldr Trump loves judges who are unqualified and easily manipulated.
1209624691679399936 2019-12-24 18:59:34 -0400 <apbeachboy> @ABC You’re doing a #tremendous disservice to this world by your #eparollbacks #savetheplanet not your corporate friends @realDonaldTrump
1209624688525070336 2019-12-24 18:59:34 -0400 <admorgan99> @shabbaranksbro @StephMarieTeach @Joe_Flipperhedd @SexCounseling @realDonaldTrump Merry Christmas 😂 I'm about to have a drink myself 😉
1209624685480161280 2019-12-24 18:59:33 -0400 <MoLoLoMo86> @realDonaldTrump @senatemajldr How many unqualified judges?
1209624682175090688 2019-12-24 18:59:32 -0400 <zeemapped> @realDonaldTrump 20 minutes. 20 minutes
1209624680480378880 2019-12-24 18:59:32 -0400 <JackTorrent1> @realDonaldTrump @senatemajldr Love your Xmas message of peace and hope. Idiot of the highest order.
1209624679524249603 2019-12-24 18:59:31 -0400 <BilMizzell> @LindseyGrahamSC @realDonaldTrump Nancy Pelosi is the queen of the corrupt do nothing Democrats
1209624678760960000 2019-12-24 18:59:31 -0400 <birchmorecraig> @LindseyGrahamSC @realDonaldTrump Vote @LindseyGrahamSC  out!
1209624675774607360 2019-12-24 18:59:31 -0400 <PaulUS8617> @realDonaldTrump @realDonaldTrump Tweets about the stock market on Christmas Eve...  I guess that’s what he’s reflecting on on Christmas Eve. The #WarOnChristmas is real and is waged by #FalseProfits #FalseProphets #FakeChristians. Sad
1209624675187228672 2019-12-24 18:59:30 -0400 <Sikervic> @realDonaldTrump @AlanDersh “Such a shame the president is a liar. The public are suffering”.   Lots of people
1209624673153142784 2019-12-24 18:59:30 -0400 <JeffDeines> @OnlyOneRaleigh @thehill @JoeBiden @realDonaldTrump @MikeBloomberg @RudyGiuliani @AmbJohnBolton Blah blah blah. If it was illegal then who's investigating it? Where's the charges? Why wasn't that part of the impeachment articles? It's only because your side doesn't like it, not because it's illegal. What are they scared off? Skeletons.
1209624669575405568 2019-12-24 18:59:29 -0400 <Hall02> @barber_yoyo @B_Metz311 @realDonaldTrump For sure. The promises that were made by Santa Hahh were made and i think smartly. Lets march on. Merry Christmas friend and go #WhiteSox
1209624666349768704 2019-12-24 18:59:28 -0400 <ImpeachedPuppet> @applebaum_eric @C_r_a_c_k_3_r @itsJeffTiedrich @realDonaldTrump @senatemajldr Leave it to a hillbilly to be inspired by a faux-hillbilly 🤣
1209624663942262785 2019-12-24 18:59:28 -0400 <EdebohlsGeorge> @BeThePlan @SSG_PAIN @StormIsUponUs @realDonaldTrump Beautiful.
1209624662826553344 2019-12-24 18:59:28 -0400 <terracotta05> @TIN_Normal @TXNativePatriot @DNC @RealCandaceO Words can hurt so one must be mindful at all times.Worked with at risk Youth,who lived such sad existences. It matters what one says. To a see results of a teen’s attempt at Suicide bcs of the way they were spoken too is😞sad. Words can HURT😔 @realDonaldTrump @JohnJamesMI  https://t.co/PMmbewRLET
1209624661782335489 2019-12-24 18:59:27 -0400 <Congoliza> @Brandon33372063 @ChrisJZullo @realDonaldTrump @senatemajldr As opposed to “ For entertainment purposes only” faux news.. just sit down..
1209624658749739008 2019-12-24 18:59:27 -0400 <gadjetjoe> @Christo41978344 @realDonaldTrump @foxandfriends For anyone who keeps talking and hoping for a recession is one special stupid fool! I know what goes up will come down, so strike while the iron is hot! invest your hard earned wisely.   Don't be just an idiot and sit around waiting for anything negative! MOVE!be SMART!  https://t.co/NMWxv9RRtR
1209624656468201474 2019-12-24 18:59:26 -0400 <MrJonathanMock> @realDonaldTrump What a Christian response from #IMPOTUS45, full of non-judgemental forgiveness.
1209624656019197952 2019-12-24 18:59:26 -0400 <Idahopatriot76> @realDonaldTrump @senatemajldr How many of these judges are qualified?  Rushing the appointment of a judge isn’t prudent!!
1209624655151149068 2019-12-24 18:59:26 -0400 <mantoan_r> @realDonaldTrump @senatemajldr @POTUS    Merry Christmas!
1209624653603323904 2019-12-24 18:59:25 -0400 <EdK7777777> @RepMattGaetz @realDonaldTrump Outstanding Rep Gaetz!👍🇺🇸🗽 We'r appreciate you're courage and boldness to expose the corruption of the demonrats!👍🇺🇸🗽  Keep MAGA
1209624652169072642 2019-12-24 18:59:25 -0400 <leafolland> @parscale @TeamTrump @realDonaldTrump My holiday wish is that trump would shut his mouth and rest his twitter finger for 24 hours.
1209624644262612992 2019-12-24 18:59:23 -0400 <Compuglobalhyp1> @Squill_whispers @realDonaldTrump help him please
1209624641762996229 2019-12-24 18:59:22 -0400 <noonetrumpfun> @JulianSvendsen @realDonaldTrump @senatemajldr To daye iz opposite day n u say nu u men yaz. chuck mte lib fuk. ha see evy1 luv hem  https://t.co/YmbUUkdABW
1209624641154801664 2019-12-24 18:59:22 -0400 <joshdrake777> @nick_mathews22 @NBCNews @GretaThunberg @realDonaldTrump *you’re
