1181358542869143552 2019-10-07 19:59:59 -0400 <BatkitarNaciye> @realDonaldTrump You very dangerous man ❗️❗️❗️❗️❗️❗️
1181358540948217856 2019-10-07 19:59:59 -0400 <DindarKocer> @Doranimated @realDonaldTrump Shame on you Mike! Look what happened to Afrin, your terrorist ally Turkey is committing war crimes. Kurds r forced to leave their villages. Erdogan is changing the demography of the region. PKK is the only excuse that Turkey uses to get its way, stupid people like you believe it
1181358537533841408 2019-10-07 19:59:58 -0400 <RachelReasonov1> @realDonaldTrump It is I, Oz the Great and Powerful...but wait he was evicted in the end
1181358537202528257 2019-10-07 19:59:58 -0400 <Mcgoes62Maria> @realDonaldTrump @HeyTammyBruce Tammy Bruce does not speak for the majority of women who find you a blatant pathological liar, narcissistic and a bully.  You are deceptive and a true con artist.
1181358537198440448 2019-10-07 19:59:58 -0400 <Food_Voyeur> @realDonaldTrump This tweet only works if you read it out loud in Gollum's voice. #resign  https://t.co/Qx0EEINwOO
1181358535772389376 2019-10-07 19:59:58 -0400 <AmericanValues6> @realDonaldTrump #Arms4Dirt #ImpeachTrumpNOW  #GOPTRAITORS  #MoscowMitch  #TrumpCriminalEnterprise  https://t.co/4mKZZLG9Tv
1181358534920769537 2019-10-07 19:59:57 -0400 <KevinlyFather> @LindseyGrahamSC @realDonaldTrump In a COURT OF LAW.    This is the House and Senate Linds.  You'd think you'd be aware of this.   How many figures am I holding up.   Right! It's just one.   Now which finger is it?
1181358533301784576 2019-10-07 19:59:57 -0400 <vbmarquis> @40AcresBuilt @LouDobbs @peterschweizer @realDonaldTrump There are none so blind as those who will not see.
1181358533163520001 2019-10-07 19:59:57 -0400 <vickster152> @realDonaldTrump Why does he still use MAGA a campaign slogan? Shouldn't he have done something to be proud of by now? Riding the coattails of Obama's success isnt your success!Making people feel they can be more racist, more sexist, more homophobic and more accepting of gun violence is not MAGA!
1181358532316323841 2019-10-07 19:59:57 -0400 <AguiarLouis> @realDonaldTrump Clown!!
1181358528876953600 2019-10-07 19:59:56 -0400 <beachluvr104> @LouDobbs @CLewandowski_ @realDonaldTrump I love our president and stand w him but NOT on this pls protect the ones who had our back the Kurds stood w us turkey is not our friend and not to be trusted
1181358528855973889 2019-10-07 19:59:56 -0400 <OlliHub> @realDonaldTrump .."in my great and unmatched wisdom"... ... ... 😂 Your president has spent too much time with Kim Jong-un.. If it wasn't so tragic...it would be a laugh..
1181358527245377536 2019-10-07 19:59:56 -0400 <preising> @EastonMae @LindseyGrahamSC @realDonaldTrump Bless your heart Mae
1181358526763012096 2019-10-07 19:59:56 -0400 <donalynette> @Oh_Behave_John @POTUS @realDonaldTrump His Republican buddies are spaced out.  No comments from the peanut gallery.  Just pretend everything is normal.
1181358526637232129 2019-10-07 19:59:55 -0400 <LeeVleib> @JoeySalads @realDonaldTrump And you too  https://t.co/ZU9nG2CFlE
1181358525882273794 2019-10-07 19:59:55 -0400 <SherrySherrmorr> @joncoopertweets @realDonaldTrump Trump working for Habitat for Humanity? Not in this lifetime
1181358524045111296 2019-10-07 19:59:55 -0400 <Comftablynum> @Tracy_in_tn @Camembear59MD @misskit83665431 @Strandjunker @realDonaldTrump Jeez, haven’t had time for a comeback answer to u.  Got more important things than twitter right now. But good answers!!
1181358523193577472 2019-10-07 19:59:55 -0400 <Michael46535213> @jonboy7776 @realDerekUtley @JackPosobiec @realDonaldTrump @JohnBrennan Tick.tock.tick.tock.
1181358523076300800 2019-10-07 19:59:55 -0400 <ClyattGerri> @ida_skibenes @realDonaldTrump Thank you for understanding ..we are devastated!
1181358522283495425 2019-10-07 19:59:54 -0400 <trina_hoyle> @realDonaldTrump @RonJohnsonWI Johnson looked as stupid as you! I guess he needs more practice lying! He looked like he was really struggling!
1181358521247391744 2019-10-07 19:59:54 -0400 <nikitrombley> @Strandjunker @realDonaldTrump And your in denial...for almost 4 years
1181358520966488065 2019-10-07 19:59:54 -0400 <TheodoreKroeze> @realDonaldTrump The rate has dropped 1% under your tenure! Obama taking it from 9.5 to 4.5 is REALLY something after 8 years of republicans destroying the economy in every way. I used to think little Bush was the elected village idiot, but it turned out to be you! The one and only don the con!
1181358518227611648 2019-10-07 19:59:53 -0400 <Swampdo01077548> @brianstelter @Comey If you ever needed proof of the Lefts obsession with all things #Trump look no further! Funny part is @realDonaldTrump could ruin these 2 actors careers with a 3 word Tweet! @TheJeffBridges and #BrendanGleeson take note! #TrumpDerangementSyndrome  #LeftIsObsessed #KAG2020
1181358516814041089 2019-10-07 19:59:53 -0400 <CelestialSky77> @SpeakerPelosi @realDonaldTrump Better get this rolling Nancy
1181358516281499648 2019-10-07 19:59:53 -0400 <rosetteposey> @realDonaldTrump See you in Dallas!  So excited! I love our President!
1181358516256292864 2019-10-07 19:59:53 -0400 <TheSaltThrone> @realDonaldTrump You are indeed a more stable and bigly wiser Socrates.
1181358514687504384 2019-10-07 19:59:53 -0400 <kimr0928> @realDonaldTrump Even @MoscowMitch is against this. #TraitorTrump
1181358514633166848 2019-10-07 19:59:53 -0400 <jvbpgg> @realDonaldTrump Lies!
1181358512888090624 2019-10-07 19:59:52 -0400 <dahlia1111> @tonyposnanski @realDonaldTrump ..says a man who takes selfies in (male?/female?) public toilets!
1181358512351383554 2019-10-07 19:59:52 -0400 <mialynneb> @LindseyGrahamSC @realDonaldTrump Shut up, Lindsey. You're currently on duty and ignoring a genocide under your watch.
1181358512137482240 2019-10-07 19:59:52 -0400 <gigirimeme> @hakanhanozcan @realDonaldTrump You're not more than some muslim ottoman dolls who are seeking for their former glory! Turkey will be the next Iran! Its what Ardoğan can achieve!
1181358511848132608 2019-10-07 19:59:52 -0400 <BernardPG> @JoeBiden president Trump has spent f@#k all attacking you.  Now, he has attacked you with his words and that, Joe, hasn't cost him a thought.   You having any of that @realDonaldTrump?
1181358511512440832 2019-10-07 19:59:52 -0400 <TraceyTorres> @realDonaldTrump Trump Tower Istanbul? Conflict of Interest?  https://t.co/ckBxY3Fbvg
1181358511009087488 2019-10-07 19:59:52 -0400 <help_otw> @anderscorr @HKNordicHearts @realDonaldTrump @SecPompeo @EsperDoD If you ever wonder why Hong Kong people request “5 demands, not one less”, it is because the communists never respond to the people - forming dialogue is just a gesture. This is true in HK, worse in China
1181358509473951747 2019-10-07 19:59:51 -0400 <ole101eagle> @realDonaldTrump Poor Baby, give us this day, your daily whine.
1181358508962451456 2019-10-07 19:59:51 -0400 <JohnMitchell2> @realDonaldTrump Done with the call ... beautiful call .. best call ever now witchhunt(c) is next 🤷🏻‍♂️ #justsayindonald
1181358508920512513 2019-10-07 19:59:51 -0400 <Karlas2cents> @realDonaldTrump you never condemned this and you never held them accountable for disrespecting our laws and American's right to free speech after Erdogan pulled this bullshit in D.C.
1181358507980931072 2019-10-07 19:59:51 -0400 <randee_euliss> @realDonaldTrump Lies lies lies lies lies!!!!!!
1181358506688966656 2019-10-07 19:59:51 -0400 <Angela49929733> @realDonaldTrump #TrumpPressuredUkraine  #ImpeachDonaldTrumpNOW  #impeachment  #ImpeachmentIsComing  https://t.co/ma2BMXQbtJ
