1130986628007256064 2019-05-21 19:59:59 -0400 <sdward1> @realDonaldTrump  https://t.co/LRCNzqPtF8
1130986627646525441 2019-05-21 19:59:59 -0400 <MCarolaNunez> @realDonaldTrump @POTUS @VP
1130986625264078848 2019-05-21 19:59:58 -0400 <AriStranzl> @realDonaldTrump also, laundering Russian money through real estate transactions in Florida and NY is also impeachable
1130986621975842816 2019-05-21 19:59:58 -0400 <LilianaZamora47> ¡Excelente noticia! NADA DE ELECCIONES CON LOS TERRORISTAS USURPANDO LAS INSTITUCIONES. Punto a favor de @jguaido y @AsambleaVE VAMOS BIEN "La Asamblea Nacional rechazó la propuesta de adelantar las elecciones"   https://t.co/D5FQhuQBq6 @realDonaldTrump @AmbJohnBolton @marcorubio
1130986620478472193 2019-05-21 19:59:57 -0400 <LovinBeach2> @jrowland777 @realDonaldTrump @justinamash @ForTheRuleOfLaw Do you ever follow the real news? You are so wrong.
1130986620394590208 2019-05-21 19:59:57 -0400 <PredictIt> Odds that President Trump will be impeached in his first term haven’t moved much lately despite recent news. YES shares are currently trading at 31%  https://t.co/n8SsbHqVfS @realDonaldTrump @SpeakerPelosi
1130986619685736450 2019-05-21 19:59:57 -0400 <AHLHarrythekid> @realDonaldTrump WHEN'S HE VISITING THE WHITE HOUSE LOCKER ROOM? DOES HE GET A GOLD KEY? Is his, INITIATION to GRAB some P--sey?
1130986616338702341 2019-05-21 19:59:56 -0400 <Apeman605> @realhublife @mitchellvii @realDonaldTrump Happy and confident for sure. But old and obese is not healthy
1130986614736457729 2019-05-21 19:59:56 -0400 <SueBIU90> @kg_nielsen @JeffreyGuterman @realDonaldTrump Same!
1130986614606503937 2019-05-21 19:59:56 -0400 <Deejays34Goff> @davidcicilline @realDonaldTrump You know what ? "WE THE PEOPLE" are so very weary of hearing we will, we will, we will. But, you don't, you don't, you don't !
1130986614006722560 2019-05-21 19:59:56 -0400 <mccannltc> @AbbyJohnson @realDonaldTrump I think @realDonaldTrump wants exceptions due to rape and incest because of the huge emotional turmoil a woman goes through in that situation that effects their health in many cases. I am sure the President values your son’s life and honors what you have done for him.
1130986613830496256 2019-05-21 19:59:56 -0400 <Thebradyeffect> @gtconway3d @JStein_WaPo @jdawsey1 @realDonaldTrump YASSSSS
1130986611821490176 2019-05-21 19:59:55 -0400 <RafaelGrullon9> "Ver a @realDonaldTrump aterrizar en la Fuerza Aérea 1 fue una de las mejores experiencias de la historia."
1130986609162227718 2019-05-21 19:59:54 -0400 <biggiesnotdead> @ColoIrishMary @tedlieu @realDonaldTrump Whats the  #MuellerReport say?  Oops. No collusion. Thanks for playing Democrats.
1130986608474378240 2019-05-21 19:59:54 -0400 <VickiBender13> @realDonaldTrump You can download the report for free. On audible. The report says he did nothing wrong. Now they want his tax forms.I thought we sent people to d c to look for ways to serve us.
1130986592909352962 2019-05-21 19:59:51 -0400 <LuvAmerica2016> @CanadianWolf33 @AnnCoulter @realDonaldTrump @POTUS Undocumented immigrants don’t receive government assistance.  And Neither you or Trump have empirical data that supports those claims.     https://t.co/NDkJTKgLsj
1130986592615751680 2019-05-21 19:59:51 -0400 <kayme64> @apexofpurple @EdKrassen @realDonaldTrump  https://t.co/Pi6FtkGK7I
1130986591185440769 2019-05-21 19:59:50 -0400 <callaghan_trish> @BlueRobotDesign @realDonaldTrump I don’t think so.. obama was “THE WORST” president and I shouldn’t even be calling him a president cuz he’s not even a US citizen.... yes we all know your boyfriend Barack was born in Kenya!!!!!!
1130986589373386752 2019-05-21 19:59:50 -0400 <michael05833466> @LouDobbs @pnjaban @realDonaldTrump  https://t.co/H846ijIsgd
1130986587012173824 2019-05-21 19:59:49 -0400 <TavaresTheresa> @gratefuled68 @realDonaldTrump As an American I believe in the Congressional right and duty of oversight. No matter who the @POTUS is. Congress wasn't able to see the final complete report, neither was the American public. Innocent people want ALL the facts shown. Why won't he allow that? Ask yourself!!
1130986586856927232 2019-05-21 19:59:49 -0400 <Acefreh83436550> @realDonaldTrump Pinnochio would be jealous
