1214335839146262530 2020-01-06 18:59:59 -0400 <KoesterKarin> @realDonaldTrump He is not okay... #25thAmendmentNow
1214335837837631494 2020-01-06 18:59:59 -0400 <ValentinoPhotos> @realDonaldTrump You sly dawg!  https://t.co/AYgCXHa8M7
1214335837585981445 2020-01-06 18:59:59 -0400 <kylebarter316> @Sadam__iraq @realDonaldTrump Coming from the U.S, We don’t want war either or anything, we hope our political leaders listen to us and Deescalate this whole situation🙏
1214335835954434054 2020-01-06 18:59:59 -0400 <SteveinMarsden> @realDonaldTrump He dragged you and fox out of the swamp I think it's time you him and fox went right back there
1214335835874775040 2020-01-06 18:59:59 -0400 <9GNyUJT7A80QCyj> @realDonaldTrump  https://t.co/HXWvfM0tsS
1214335835660836875 2020-01-06 18:59:59 -0400 <jannettecalista> Dedicado al grandísimo gafote mayor @realDonaldTrump por financiar y apostar al mayor idiota que ha pasado por la oposición venezolana, sigan así que van más que bien... machete #TuSiEresGuaidiota @jguaido  Por eso siempre Nosotros Venceremos!  https://t.co/2sJqTlNP1n
1214335835455266817 2020-01-06 18:59:59 -0400 <bobby_thoughts> @JoshWallach4 @vampireontitus @realDonaldTrump Lol 😂
1214335834427731969 2020-01-06 18:59:58 -0400 <baoxiaofeng> @USA_China_Talk @SecPompeo @realDonaldTrump 鬼话连篇！
1214335834154917888 2020-01-06 18:59:58 -0400 <TronaldRump> @realDonaldTrump Derp. But yeh take responsibilty for the national economy that they are significant contributors to. You’re a scumbag sir
1214335832733241344 2020-01-06 18:59:58 -0400 <KellieADennis74> @LindseyGrahamSC @SenTedCruz @tedcruz @realDonaldTrump Of course you do Trumps lap dog
1214335832456220673 2020-01-06 18:59:58 -0400 <hustlemac> @realDonaldTrump Just give them the help... cause their ... no such thing as government funded.... its taxpayer funded.... Stop holding back the people's money And help.... Didn't you already get in trouble for this.... Withholding people's help... Now give the people their tax payer subsidies.
1214335831919353857 2020-01-06 18:59:58 -0400 <Ring14Terri> @realDonaldTrump Sounds like the parody account
1214335830904336384 2020-01-06 18:59:58 -0400 <Aariah78514163> @Ryeking73 @wmmII88 @realDonaldTrump Bias confirmation research isn't productive, buddy.  https://t.co/gW5WnvirWS
1214335830795390977 2020-01-06 18:59:57 -0400 <blichtemstein94> @GOPChairwoman @realDonaldTrump Iran must have loved Obama administration!
1214335829390381058 2020-01-06 18:59:57 -0400 <IAmWillGibson> @JoeySalads @realDonaldTrump Everything you touch turns into a urinal.
1214335828140285952 2020-01-06 18:59:57 -0400 <AStarOne2> @DougBodine1 @TheyCallmeDoc1 @realDonaldTrump All right I’m with you POTUS PRESIDENT TRUMP 2020 🇺🇸🇺🇸🇺🇸💯💯💯DEMOCRATS 👹👹👹EVIL ARE GOING CRAZY 😜 THEY KNOW TRUMP IS GOING TO WIN, WIN, AND WIN.
