date,pos,neu,neg
2019-12-24 00:00:00,0.03208556149732621,0.9590017825311943,0.008912655971479501
2017-09-04 00:00:00,0.014466546112115732,0.9819168173598554,0.003616636528028933
2018-05-26 00:00:00,0.007692307692307693,0.9807692307692307,0.011538461538461539
2020-01-17 00:00:00,0.011299435028248588,0.9774011299435028,0.011299435028248588
2018-11-08 00:00:00,0.0055658627087198514,0.9833024118738405,0.00927643784786642
2017-11-04 00:00:00,0.015985790408525755,0.9751332149200711,0.010657193605683837
2019-03-16 00:00:00,0.007874015748031496,0.9744094488188977,0.015748031496062992
2019-12-19 00:00:00,0.019434628975265017,0.9593639575971732,0.02120141342756184
2018-02-18 00:00:00,0.01744186046511628,0.9728682170542635,0.007751937984496124
2018-06-27 00:00:00,0.012867647058823529,0.9797794117647058,0.007352941176470588
2017-06-05 00:00:00,0.009416195856873822,0.9736346516007532,0.015065913370998116
2018-05-23 00:00:00,0.011881188118811881,0.9722772277227723,0.015841584158415842
2017-06-06 00:00:00,0.011881188118811881,0.9663366336633663,0.02178217821782178
2019-07-16 00:00:00,0.013133208255159476,0.9624765478424016,0.01876172607879925
2018-05-28 00:00:00,0.013944223107569721,0.9741035856573705,0.013944223107569721
2019-01-01 00:00:00,0.030852994555353903,0.9582577132486388,0.010889292196007259
2017-09-16 00:00:00,0.019083969465648856,0.950381679389313,0.02862595419847328
2017-12-09 00:00:00,0.0058823529411764705,0.9803921568627451,0.011764705882352941
2017-08-12 00:00:00,0.0074211502782931356,0.9795918367346939,0.014842300556586271
2017-10-21 00:00:00,0.019891500904159132,0.9403254972875226,0.04159132007233273
2017-06-03 00:00:00,0.017699115044247787,0.9557522123893806,0.024778761061946902
2018-10-24 00:00:00,0.024714828897338403,0.9543726235741445,0.02091254752851711
2018-06-14 00:00:00,0.04263565891472868,0.9476744186046512,0.011627906976744186
2018-02-27 00:00:00,0.013059701492537313,0.9626865671641791,0.026119402985074626
2018-04-14 00:00:00,0.006,0.97,0.022
2018-03-18 00:00:00,0.0019880715705765406,0.9840954274353877,0.013916500994035786
2017-10-11 00:00:00,0.016544117647058824,0.9742647058823529,0.009191176470588236
2018-01-10 00:00:00,0.011904761904761904,0.9781746031746031,0.00992063492063492
2018-05-20 00:00:00,0.005802707930367505,0.9748549323017408,0.019342359767891684
2019-12-10 00:00:00,0.017985611510791366,0.9640287769784173,0.017985611510791366
2017-03-24 00:00:00,0.017857142857142856,0.9607142857142857,0.019642857142857142
2019-05-23 00:00:00,0.015503875968992248,0.9689922480620154,0.015503875968992248
2017-07-11 00:00:00,0.003738317757009346,0.9869158878504672,0.009345794392523364
2018-12-11 00:00:00,0.00946969696969697,0.9810606060606061,0.00946969696969697
2018-06-02 00:00:00,0.010452961672473868,0.9738675958188153,0.0156794425087108
2017-07-13 00:00:00,0.009074410163339383,0.9745916515426497,0.016333938294010888
2017-05-02 00:00:00,0.015957446808510637,0.9680851063829787,0.01950354609929078
2019-03-12 00:00:00,0.01282051282051282,0.9743589743589743,0.01282051282051282
2017-05-25 00:00:00,0.01968503937007874,0.9586614173228346,0.021653543307086614
2017-08-25 00:00:00,0.009708737864077669,0.974757281553398,0.015533980582524271
2019-03-04 00:00:00,0.013435700575815739,0.980806142034549,0.005758157389635317
2019-03-21 00:00:00,0.009746588693957114,0.9746588693957114,0.015594541910331383
2018-09-01 00:00:00,0.019762845849802372,0.9624505928853755,0.017786561264822136
2018-04-02 00:00:00,0.007677543186180422,0.982725527831094,0.007677543186180422
2018-08-14 00:00:00,0.013816925734024179,0.9671848013816926,0.018998272884283247
2017-03-02 00:00:00,0.017408123791102514,0.9748549323017408,0.007736943907156673
2020-01-18 00:00:00,0.02333931777378815,0.9622980251346499,0.01436265709156194
2017-03-09 00:00:00,0.025134649910233394,0.9640933572710951,0.010771992818671455
2018-03-14 00:00:00,0.018656716417910446,0.960820895522388,0.020522388059701493
2019-04-05 00:00:00,0.016216216216216217,0.9621621621621622,0.023423423423423424
2017-01-28 00:00:00,0.0017985611510791368,0.9802158273381295,0.012589928057553957
2020-01-10 00:00:00,0.012345679012345678,0.9753086419753086,0.010582010582010581
2018-03-26 00:00:00,0.022847100175746926,0.968365553602812,0.008787346221441126
2019-10-08 00:00:00,0.0053475935828877,0.9803921568627451,0.012477718360071301
2018-02-05 00:00:00,0.012704174228675136,0.9782214156079855,0.009074410163339383
2017-08-05 00:00:00,0.0338680926916221,0.9518716577540107,0.012477718360071301
2019-11-19 00:00:00,0.012110726643598616,0.972318339100346,0.01384083044982699
2017-07-10 00:00:00,0.003663003663003663,0.978021978021978,0.018315018315018316
2018-10-05 00:00:00,0.019230769230769232,0.9711538461538461,0.009615384615384616
2019-07-30 00:00:00,0.032504780114722756,0.9483747609942639,0.022944550669216062
2018-05-04 00:00:00,0.023483365949119372,0.958904109589041,0.015655577299412915
2018-09-05 00:00:00,0.03745318352059925,0.951310861423221,0.0149812734082397
2018-11-18 00:00:00,0.009124087591240875,0.9726277372262774,0.01824817518248175
2019-01-05 00:00:00,0.005454545454545455,0.9709090909090909,0.023636363636363636
2019-10-23 00:00:00,0.006802721088435374,0.9693877551020408,0.023809523809523808
2019-04-25 00:00:00,0.016423357664233577,0.9671532846715328,0.016423357664233577
2018-12-07 00:00:00,0.017361111111111112,0.9652777777777778,0.017361111111111112
2017-03-11 00:00:00,0.01727447216890595,0.9673704414587332,0.013435700575815739
2019-07-27 00:00:00,0.018018018018018018,0.9423423423423424,0.04144144144144144
2017-05-01 00:00:00,0.0057692307692307696,0.9653846153846154,0.026923076923076925
